delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
1546.0,388.0,1934.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[22].A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42873.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[22\].A3 (388:388:388) (388:388:388)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[22\].A3 (1934:1934:1934) (1934:1934:1934))
1545.0,150.0,1695.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[6].A2,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$14982.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26139_Y\[6\].A2 (150:150:150) (150:150:150)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43521.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26139_Y\[6\].A2 (1695:1695:1695) (1695:1695:1695))
1515.0,540.0,2055.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[63].A3,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$19918.O5 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26130_Y\[63\].A3 (540:540:540) (540:540:540)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43521.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$26139_Y\[63\].A3 (2055:2055:2055) (2055:2055:2055))
1504.0,326.0,1830.0,all,,['other'],INTERCONNECT:bist_counts[23]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42638.Q bist_counts\[23\]\$LUT\$604.A1 (326:326:326) (326:326:326)),(INTERCONNECT \$PACKER_GND_DRV.Y bist_counts\[23\]\$LUT\$604.A1 (1830:1830:1830) (1830:1830:1830))
1499.0,150.0,1649.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.Y[45].A2,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$16817.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9114\.Y\[45\].A2 (150:150:150) (150:150:150)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$5630.O5 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9114\.Y\[45\].A2 (1649:1649:1649) (1649:1649:1649))
1499.0,1215.0,2714.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[102].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42997.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[102\].A2 (1215:1215:1215) (1215:1215:1215)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[102\].A2 (2714:2714:2714) (2714:2714:2714))
1485.0,495.0,1980.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[94].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[94\].A1 (495:495:495) (495:495:495)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[94\].A1 (1980:1980:1980) (1980:1980:1980))
1481.0,303.0,1784.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[109].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29360.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[109\].A1 (303:303:303) (303:303:303)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[109\].A1 (1784:1784:1784) (1784:1784:1784))
1470.0,0.0,1470.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.delay_before_write_counter_d[1][0].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$37573.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.delay_before_write_counter_d\[1\]\[0\].A2 (0:0:0) (0:0:0)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$7580.O5 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.delay_before_write_counter_d\[1\]\[0\].A2 (1470:1470:1470) (1470:1470:1470))
1470.0,899.0,2369.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[52].A5,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43406.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[52\].A5 (899:899:899) (899:899:899)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[52\].A5 (2369:2369:2369) (2369:2369:2369))
