family,lane,good_count,good_max_ps,good_spread_ps,bad_count,bad_max_ps,bad_spread_ps,delta_median_ps,delta_p95_ps,delta_max_ps
calibration_fsm,all,208,10020.0,10020.0,208,6554.0,6554.0,0.0,4844.0,5848.0
clocking,all,2080,6855.0,6736.0,2078,5159.0,5040.0,0.0,0.0,0.0
dq_input,all,60,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
dq_output,all,200,1055.0,1055.0,200,1055.0,1055.0,0.0,0.0,0.0
dqs_input,all,131,9329.0,9329.0,134,5610.0,5610.0,0.0,883.0,2897.0
dqs_output,all,90,3122.0,3122.0,90,3378.0,3378.0,0.0,413.0,918.0
idelay_control,all,3281,9329.0,9329.0,3288,5610.0,5610.0,0.0,706.0,5166.0
idelayctrl,all,5,2970.0,1844.0,5,3371.0,2245.0,457.0,914.0,914.0
idelayctrl_reset_release,all,12,8954.0,8954.0,12,2009.0,2009.0,-6945.0,0.0,0.0
iologic_physical,all,347,5894.0,5894.0,346,6434.0,6434.0,0.0,0.0,1769.0
other,all,50225,11145.0,11145.0,50511,6735.0,6735.0,0.0,975.0,4843.0
reset_cdc,all,108,8954.0,8954.0,107,5159.0,5159.0,-46.0,0.0,0.0
