feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,22,7,220.0,574.0,1157.0,487.0,872.0,1323.0,298.0,-670.0,-1103.0,0.720779,fail_higher,0.720779,0.441558,overlap,0.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,22,7,220.0,574.0,1157.0,487.0,872.0,1323.0,298.0,-670.0,-1103.0,0.720779,fail_higher,0.720779,0.441558,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,22,7,975.0,1350.0,2062.0,1082.0,1478.0,2325.0,128.0,-980.0,-1350.0,0.711039,fail_higher,0.711039,0.422078,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,22,7,958.0,1611.5,2061.0,1253.0,1761.0,2591.0,149.5,-808.0,-1633.0,0.701299,fail_higher,0.701299,0.402597,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,22,7,192.0,400.0,693.0,358.0,477.0,627.0,77.0,-335.0,-435.0,0.694805,fail_higher,0.694805,0.38961,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,22,7,1100.0,1441.0,2290.0,990.0,1868.0,2132.0,427.0,-1300.0,-1032.0,0.688312,fail_higher,0.688312,0.376623,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,4,endpoint,22,7,1011.0,1435.0,2206.0,1077.0,1804.0,2134.0,369.0,-1129.0,-1123.0,0.688312,fail_higher,0.688312,0.376623,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,4,endpoint,22,7,785.0,1270.0,1950.0,936.0,1463.0,1809.0,193.0,-1014.0,-1024.0,0.675325,fail_higher,0.675325,0.350649,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,22,7,140.0,378.5,781.0,249.0,506.0,693.0,127.5,-532.0,-553.0,0.675325,fail_higher,0.675325,0.350649,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,3,endpoint,22,7,961.0,1374.5,1809.0,1279.0,1465.0,1825.0,90.5,-530.0,-864.0,0.662338,fail_higher,0.662338,0.324675,overlap,0.0
