feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,22,7,0.805195,0.805195,348.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,22,7,0.805195,0.805195,187.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq2__ctrl_none__dq2__value_ps,22,7,0.798701,0.798701,508.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,22,7,0.798701,0.798701,377.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,22,7,0.798701,0.798701,356.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_1__endpoint__value_ps,22,7,0.798701,0.798701,347.5
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,22,7,0.798701,0.798701,161.5
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,22,7,0.798701,0.798701,119.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,22,7,0.792208,0.792208,442.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,22,7,0.792208,0.792208,442.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,22,7,0.792208,0.792208,389.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,22,7,0.792208,0.792208,389.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,22,7,0.792208,0.792208,339.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,22,7,0.792208,0.792208,312.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,22,7,0.785714,0.785714,484.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,22,7,0.785714,0.785714,400.5
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,22,7,0.785714,0.785714,309.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,22,7,0.785714,0.785714,271.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,22,7,0.785714,0.785714,253.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,22,7,0.785714,0.785714,245.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_1__endpoint__value_ps,22,7,0.782468,0.782468,397.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_1__endpoint__value_ps,22,7,0.779221,0.779221,550.5
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,22,7,0.779221,0.779221,531.5
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,22,7,0.779221,0.779221,482.0
