feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,1,endpoint,22,7,1291.0,1809.5,2816.0,1312.0,1626.0,1934.0,-183.5,-1504.0,-643.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,1,endpoint,22,7,1074.0,1313.0,1832.0,953.0,1161.0,1649.0,-152.0,-879.0,-575.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
direct_max__idelay_ld__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dqs0,,endpoint,22,7,1353.0,1549.5,2302.0,1296.0,1478.0,2091.0,-71.5,-1006.0,-738.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
lane_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane1,,,lane,22,7,591.0,877.5,1332.0,510.0,833.0,1042.0,-44.5,-822.0,-451.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,endpoint,22,7,1659.0,2788.5,3494.0,1914.0,2322.0,2984.0,-466.5,-1580.0,-1325.0,0.36039,fail_lower,0.63961,-0.279221,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,1,endpoint,22,7,1208.0,1809.0,2819.0,1144.0,1628.0,1894.0,-181.0,-1675.0,-686.0,0.363636,fail_lower,0.636364,-0.272727,overlap,0.0
direct_max__idelay_ld__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq7,,endpoint,22,7,1315.0,1746.0,2410.0,1435.0,1597.0,2270.0,-149.0,-975.0,-955.0,0.363636,fail_lower,0.636364,-0.272727,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,1,endpoint,22,7,1116.0,1569.5,2051.0,1235.0,1457.0,1791.0,-112.5,-816.0,-675.0,0.363636,fail_lower,0.636364,-0.272727,overlap,0.0
lane_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane0,,,lane,22,7,587.0,1027.0,1739.0,457.0,976.0,1325.0,-51.0,-1282.0,-738.0,0.363636,fail_lower,0.636364,-0.272727,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq12__ctrl_none__dq12__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,22,7,186.0,506.5,1116.0,174.0,436.0,774.0,-70.5,-942.0,-588.0,0.366883,fail_lower,0.633117,-0.266234,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,22,7,1146.0,1493.0,1916.0,864.0,1356.0,2062.0,-137.0,-1052.0,-916.0,0.37013,fail_lower,0.62987,-0.25974,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,1,endpoint,22,7,1031.0,1506.0,2131.0,1154.0,1371.0,1807.0,-135.0,-977.0,-776.0,0.37013,fail_lower,0.62987,-0.25974,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,22,7,958.0,1294.5,1898.0,810.0,1121.0,1559.0,-173.5,-1088.0,-601.0,0.373377,fail_lower,0.626623,-0.253247,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,22,7,270.0,623.0,1266.0,228.0,490.0,900.0,-133.0,-1038.0,-630.0,0.373377,fail_lower,0.626623,-0.253247,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq14__ctrl_none__dq14__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,22,7,192.0,567.0,1034.0,306.0,454.0,688.0,-113.0,-728.0,-496.0,0.376623,fail_lower,0.623377,-0.246753,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,22,7,1305.0,1798.0,2342.0,1310.0,1590.0,1993.0,-208.0,-1032.0,-688.0,0.37987,fail_lower,0.62013,-0.24026,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,22,7,922.0,1351.5,1995.0,866.0,1098.0,1812.0,-253.5,-1129.0,-890.0,0.383117,fail_lower,0.616883,-0.233766,overlap,0.0
