feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,14,16,-1016.0,-40.5,658.0,-929.0,-325.0,375.0,-284.5,-1587.0,-1391.0,0.334821,fail_lower,0.665179,-0.330357,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,14,16,-842.0,21.5,701.0,-787.0,-302.5,464.0,-324.0,-1488.0,-1306.0,0.339286,fail_lower,0.660714,-0.321429,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,14,16,-651.0,95.0,566.0,-903.0,-243.5,1066.0,-338.5,-1469.0,-1717.0,0.341518,fail_lower,0.658482,-0.316964,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,14,16,-500.0,-122.5,696.0,-739.0,-223.0,375.0,-100.5,-1435.0,-875.0,0.34375,fail_lower,0.65625,-0.3125,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,14,16,61.0,346.0,691.0,31.0,246.0,828.0,-100.0,-660.0,-767.0,0.348214,fail_lower,0.651786,-0.303571,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,14,16,251.0,427.5,918.0,118.0,358.5,999.0,-69.0,-800.0,-748.0,0.348214,fail_lower,0.651786,-0.303571,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,2,dq_lane,14,16,154.0,334.5,666.0,178.0,283.0,551.0,-51.5,-488.0,-397.0,0.350446,fail_lower,0.649554,-0.299107,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,14,16,-613.0,-12.0,377.0,-1012.0,-275.0,1132.0,-263.0,-1389.0,-1745.0,0.352679,fail_lower,0.647321,-0.294643,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,14,16,-437.0,-129.5,615.0,-820.0,-248.5,505.0,-119.0,-1435.0,-942.0,0.352679,fail_lower,0.647321,-0.294643,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,14,16,124.0,288.0,690.0,11.5,255.5,375.0,-32.5,-678.5,-251.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
