experiment_id,run_group,seed,variant,payload_version,pass,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,correct_read_data,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,reset_from_calibrate_ever,reset_from_test_ever,sync_rst_reasserted_after_release,phy_reset_reasserted_after_release,wrong_read_seen,bitstream_sha256,result_json,finished_at,nextpnr_json,cvc_sdf,fasm,interpretation
seed27_invalid_window_recovery,analyze-data-invalid-window-recovery-gate1,27,analyze-data-invalid-window-recovery,3,True,,23,22,True,True,100663295,0,False,0,none,0,,,0,False,False,0,0,False,False,0,0,False,False,False,False,False,65b9bb100d0f0e0a3903bcb44190fa1e735f912e6f2c3fe48b77f0d628567fa2,artifacts/hardware/analyze-data-invalid-window-recovery-gate1/seed27_invalid_window_recovery.json,2026-05-29T09:36:46.573169+00:00,,,,passes calibration and BIST
seed3_invalid_window_recovery_control,analyze-data-invalid-window-recovery-gate1,3,analyze-data-invalid-window-recovery,3,True,,23,22,True,True,100663295,0,False,0,none,0,,,0,False,False,0,0,False,False,0,0,False,False,False,False,False,1f3915ce6b5b0a81c5d1dd6b3624ebd53508ac615f777ea853051bffaa6224e4,artifacts/hardware/analyze-data-invalid-window-recovery-gate1/seed3_invalid_window_recovery_control.json,2026-05-29T09:37:21.769725+00:00,,,,passes calibration and BIST
seed23_invalid_window_recovery_control,analyze-data-invalid-window-recovery-gate1,23,analyze-data-invalid-window-recovery,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,0,True,6,analyze_data_invalid_window_exhausted,0,,,0,False,False,14,0,False,False,0,0,True,False,True,True,False,d437785498465b866e69e78a8b55e094840f4acfce4f3365543e47893a2d73c4,artifacts/hardware/analyze-data-invalid-window-recovery-gate1/seed23_invalid_window_recovery_control.json,2026-05-29T09:38:18.128817+00:00,,,,fails after analyze_data_invalid_window_exhausted; final state 0 instruction 2; lane 0 start_index_check=0 dq_target_index=14
