experiment_id,seed,variant,bitstream_file
seed27_invalid_window_recovery,27,analyze-data-invalid-window-recovery,/nix/store/j4mvalyabh2df6vcav9qhff4mh7yxndy-ypcb-ddr3-bitstream-seed-27/ypcb_00338_1p1_ddr3_openxc7.bit
seed3_invalid_window_recovery_control,3,analyze-data-invalid-window-recovery,/nix/store/zb1a1p10lhhsymcl49aax1nndd53whhn-ypcb-ddr3-bitstream-seed-3/ypcb_00338_1p1_ddr3_openxc7.bit
seed23_invalid_window_recovery_control,23,analyze-data-invalid-window-recovery,/nix/store/k15lhn5kv5xasqd5swc8pn73wr45nngh-ypcb-ddr3-bitstream-seed-23/ypcb_00338_1p1_ddr3_openxc7.bit
