x,category_x,value_ps,pass_value_ps,fail_value_ps,category,failure_class,seed,run_group,variant,experiment_id
0.93422,1,-359.0,-359.0,,pass,pass,1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
1.01166,1,-342.0,-342.0,,pass,pass,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
1.01804,1,-582.0,-582.0,,pass,pass,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed2
0.94434,1,-204.0,-204.0,,pass,pass,3,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
1.02442,1,-338.0,-338.0,,pass,pass,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed3
0.9494,1,-221.0,-221.0,,pass,pass,4,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
0.95446,1,-413.0,-413.0,,pass,pass,5,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
1.03718,1,-451.0,-451.0,,pass,pass,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
1.04356,1,-432.0,-432.0,,pass,pass,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
0.96458,1,-109.0,-109.0,,pass,pass,7,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
0.96964,1,-477.0,-477.0,,pass,pass,8,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
0.9747,1,-377.0,-377.0,,pass,pass,9,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
0.96766,1,-271.0,-271.0,,pass,pass,10,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
0.89506,1,-268.0,-268.0,,pass,pass,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
0.9835,1,-319.0,-319.0,,pass,pass,13,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
0.98878,1,-521.0,-521.0,,pass,pass,14,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
0.99406,1,-364.0,-364.0,,pass,pass,15,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-15
1.00462,1,-204.0,-204.0,,pass,pass,17,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-17
1.0099,1,27.0,27.0,,pass,pass,18,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-18
1.01518,1,-166.0,-166.0,,pass,pass,19,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-19
0.89484,1,-418.0,-418.0,,pass,pass,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed20
0.978,1,-68.0,-68.0,,pass,pass,21,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-21
0.98328,1,-278.0,-278.0,,pass,pass,22,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-22
0.99384,1,-401.0,-401.0,,pass,pass,24,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-24
0.99912,1,-51.0,-51.0,,pass,pass,25,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-25
1.0044,1,-276.0,-276.0,,pass,pass,26,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-26
0.94104,1,-365.0,-365.0,,pass,pass,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed27
1.01496,1,-204.0,-204.0,,pass,pass,28,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-28
1.02024,1,-204.0,-204.0,,pass,pass,29,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-29
0.97778,1,-233.0,-233.0,,pass,pass,30,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-30
