feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pairs,fail_to_pass_n,fail_to_pass_median_delta,fail_to_pass_median_delta_abs,fail_to_pass_abs_improved,fail_to_pass_abs_worsened,fail_to_pass_sign_flip,pass_to_fail_n,pass_to_fail_median_delta,pass_to_fail_median_delta_abs,pass_to_fail_abs_improved,pass_to_fail_abs_worsened,pass_to_fail_sign_flip,fail_to_fail_n,fail_to_fail_median_delta,fail_to_fail_median_delta_abs,fail_to_fail_abs_improved,fail_to_fail_abs_worsened,fail_to_fail_sign_flip,pass_to_pass_n,pass_to_pass_median_delta,pass_to_pass_median_delta_abs,pass_to_pass_abs_improved,pass_to_pass_abs_worsened,pass_to_pass_sign_flip,transition_delta_contrast,transition_abs_delta_contrast,contrast_score
sdf::direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq15,,endpoint,43,18,-153.5,-153.5,12,6,0,10,-414.5,-414.5,7,3,0,6,-176.0,-176.0,4,2,0,9,-194.0,-194.0,6,3,0,-261.0,-261.0,391.5
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,43,18,124.5,124.5,6,12,0,10,-136.0,-136.0,8,2,0,6,-255.5,-255.5,5,1,0,9,-178.0,-178.0,5,4,0,-260.5,-260.5,390.75
sdf::direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,sdf,direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane1,dqs1,,endpoint,43,18,-271.5,-271.5,11,7,0,10,-12.0,-12.0,5,5,0,6,-31.0,-31.0,3,3,0,9,-226.0,-226.0,7,2,0,259.5,259.5,389.25
sdf::lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,sdf,lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane1,,,lane,43,18,-271.5,-271.5,11,7,0,10,-12.0,-12.0,5,5,0,6,-31.0,-31.0,3,3,0,9,-226.0,-226.0,7,2,0,259.5,259.5,389.25
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,43,18,33.5,33.5,9,9,0,10,-226.0,-226.0,8,2,0,6,-298.5,-298.5,5,1,0,9,-7.0,-7.0,5,4,0,-259.5,-259.5,389.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,43,18,176.5,214.5,7,11,10,10,-114.0,17.0,5,5,3,6,75.0,-186.0,6,0,2,9,314.0,2.0,4,5,6,-290.5,-197.5,389.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,43,18,-128.0,25.0,8,10,9,10,256.0,16.5,5,5,4,6,15.5,54.5,2,4,5,9,-102.0,-12.0,5,4,7,384.0,-8.5,388.25
sdf::direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_3__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,43,18,263.5,263.5,5,13,0,10,5.0,5.0,4,5,0,6,471.5,471.5,1,5,0,9,303.0,303.0,2,7,0,-258.5,-258.5,387.75
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,43,18,-166.5,-61.5,10,8,9,10,180.0,14.5,5,5,4,6,-91.5,244.0,2,4,4,9,-267.0,1.0,4,5,9,346.5,76.0,384.5
sdf::direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,43,18,-220.5,-220.5,10,8,0,10,35.5,35.5,4,6,0,6,-381.5,-381.5,4,2,0,9,-492.0,-492.0,8,1,0,256.0,256.0,384.0
sdf::direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,sdf,direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,endpoint,43,18,-185.0,-185.0,13,5,0,10,-436.5,-436.5,9,1,0,6,-90.5,-90.5,5,1,0,9,-375.0,-375.0,6,3,0,-251.5,-251.5,377.25
