feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,rule,threshold_delta,balanced_accuracy,errors,tp_pass_to_fail,tn_fail_to_pass,false_pass_to_fail,false_fail_to_pass,samples
sdf::direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,sdf,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,ge_pass_to_fail,-393.0,0.644444,12,9,7,11,1,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,4,ge_pass_to_fail,274.0,0.638889,9,5,14,4,5,28
skew::signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,le_pass_to_fail,-804.5,0.638889,9,5,14,4,5,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,0,ge_pass_to_fail,-75.0,0.633333,10,6,12,6,4,28
skew::signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,skew,signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,ge_pass_to_fail,404.5,0.633333,10,6,12,6,4,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,ge_pass_to_fail,-252.0,0.616667,13,9,6,12,1,28
sdf::direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_1__endpoint__value_ps,sdf,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,ge_pass_to_fail,260.5,0.611111,10,5,13,5,5,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,ge_pass_to_fail,-525.0,0.611111,14,10,4,14,0,28
sdf::direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,ge_pass_to_fail,14.0,0.605556,11,6,11,7,4,28
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,le_pass_to_fail,-87.5,0.605556,11,6,11,7,4,28
sdf::direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,le_pass_to_fail,427.0,0.588889,14,9,5,13,1,28
