x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,42.0,,,42.0,fail_to_fail,12,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.0756,-115.0,,,-115.0,fail_to_fail,16,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.0018,-581.0,,,-581.0,fail_to_fail,23,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.9406,665.0,,,665.0,fail_to_fail,41,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.027,-819.0,,,-819.0,fail_to_fail,45,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.946,89.0,,,89.0,fail_to_fail,60,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0432,391.0,391.0,,,fail_to_pass,2,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9496,-104.0,-104.0,,,fail_to_pass,6,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9226,-270.0,-270.0,,,fail_to_pass,11,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.982,-296.0,-296.0,,,fail_to_pass,20,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0882,-243.0,-243.0,,,fail_to_pass,27,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9946,-240.0,-240.0,,,fail_to_pass,31,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0612,-552.0,-552.0,,,fail_to_pass,32,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0144,-265.0,-265.0,,,fail_to_pass,34,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0342,352.0,352.0,,,fail_to_pass,37,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9208,-228.0,-228.0,,,fail_to_pass,38,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.054,30.0,30.0,,,fail_to_pass,40,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0072,-25.0,-25.0,,,fail_to_pass,42,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9604,309.0,309.0,,,fail_to_pass,44,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9802,15.0,15.0,,,fail_to_pass,47,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.0864,-316.0,-316.0,,,fail_to_pass,54,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.973,856.0,856.0,,,fail_to_pass,55,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9262,184.0,184.0,,,fail_to_pass,57,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
0.9928,-528.0,-528.0,,,fail_to_pass,58,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.9748,424.0,,424.0,,pass_to_fail,28,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.928,-423.0,,-423.0,,pass_to_fail,30,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.9478,-991.0,,-991.0,,pass_to_fail,33,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.9676,-205.0,,-205.0,,pass_to_fail,36,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.9874,92.0,,92.0,,pass_to_fail,39,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.0468,-680.0,,-680.0,,pass_to_fail,48,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.0,-105.0,,-105.0,,pass_to_fail,50,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.0666,-783.0,,-783.0,,pass_to_fail,51,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
1.9532,-797.0,,-797.0,,pass_to_fail,52,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
2.0198,-702.0,,-702.0,,pass_to_fail,53,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.9766,-505.0,,,-505.0,pass_to_pass,1,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.9298,-592.0,,,-592.0,pass_to_pass,3,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
4.063,-2027.0,,,-2027.0,pass_to_pass,5,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
4.081,471.0,,,471.0,pass_to_pass,35,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
4.0738,273.0,,,273.0,pass_to_pass,43,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.9136,-296.0,,,-296.0,pass_to_pass,46,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
3.9334,-430.0,,,-430.0,pass_to_pass,49,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
4.0396,23.0,,,23.0,pass_to_pass,56,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
4.0594,-290.0,,,-290.0,pass_to_pass,59,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps
