x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,-357.0,,,-357.0,fail_to_fail,12,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.0756,-98.0,,,-98.0,fail_to_fail,16,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.0018,66.0,,,66.0,fail_to_fail,23,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.9406,171.0,,,171.0,fail_to_fail,41,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.027,-764.0,,,-764.0,fail_to_fail,45,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.946,-329.0,,,-329.0,fail_to_fail,60,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0432,-388.0,-388.0,,,fail_to_pass,2,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9496,-697.0,-697.0,,,fail_to_pass,6,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9226,51.0,51.0,,,fail_to_pass,11,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.982,-1156.0,-1156.0,,,fail_to_pass,20,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0882,-377.0,-377.0,,,fail_to_pass,27,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9946,-291.0,-291.0,,,fail_to_pass,31,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0612,-817.0,-817.0,,,fail_to_pass,32,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0144,-798.0,-798.0,,,fail_to_pass,34,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0342,251.0,251.0,,,fail_to_pass,37,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9208,-313.0,-313.0,,,fail_to_pass,38,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.054,173.0,173.0,,,fail_to_pass,40,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0072,222.0,222.0,,,fail_to_pass,42,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9604,-497.0,-497.0,,,fail_to_pass,44,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9802,581.0,581.0,,,fail_to_pass,47,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.0864,-446.0,-446.0,,,fail_to_pass,54,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.973,143.0,143.0,,,fail_to_pass,55,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9262,-406.0,-406.0,,,fail_to_pass,57,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
0.9928,-571.0,-571.0,,,fail_to_pass,58,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.9748,-657.0,,-657.0,,pass_to_fail,28,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.928,-92.0,,-92.0,,pass_to_fail,30,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.9478,214.0,,214.0,,pass_to_fail,33,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.9676,-62.0,,-62.0,,pass_to_fail,36,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.9874,175.0,,175.0,,pass_to_fail,39,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.0468,-759.0,,-759.0,,pass_to_fail,48,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.0,52.0,,52.0,,pass_to_fail,50,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.0666,-360.0,,-360.0,,pass_to_fail,51,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
1.9532,88.0,,88.0,,pass_to_fail,52,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
2.0198,406.0,,406.0,,pass_to_fail,53,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.9766,-399.0,,,-399.0,pass_to_pass,1,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.9298,-972.0,,,-972.0,pass_to_pass,3,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
4.063,-1028.0,,,-1028.0,pass_to_pass,5,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
4.081,-818.0,,,-818.0,pass_to_pass,35,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
4.0738,-327.0,,,-327.0,pass_to_pass,43,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.9136,-449.0,,,-449.0,pass_to_pass,46,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
3.9334,303.0,,,303.0,pass_to_pass,49,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
4.0396,229.0,,,229.0,pass_to_pass,56,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
4.0594,-526.0,,,-526.0,pass_to_pass,59,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps
