x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,826.0,,,826.0,fail_to_fail,12,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.0756,-677.0,,,-677.0,fail_to_fail,16,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.0018,395.0,,,395.0,fail_to_fail,23,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.9406,-152.0,,,-152.0,fail_to_fail,41,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.027,-903.0,,,-903.0,fail_to_fail,45,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.946,325.0,,,325.0,fail_to_fail,60,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0432,106.0,106.0,,,fail_to_pass,2,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9496,-737.0,-737.0,,,fail_to_pass,6,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9226,367.0,367.0,,,fail_to_pass,11,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.982,379.0,379.0,,,fail_to_pass,20,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0882,385.0,385.0,,,fail_to_pass,27,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9946,-644.0,-644.0,,,fail_to_pass,31,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0612,36.0,36.0,,,fail_to_pass,32,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0144,302.0,302.0,,,fail_to_pass,34,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0342,413.0,413.0,,,fail_to_pass,37,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9208,444.0,444.0,,,fail_to_pass,38,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.054,-195.0,-195.0,,,fail_to_pass,40,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0072,372.0,372.0,,,fail_to_pass,42,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9604,358.0,358.0,,,fail_to_pass,44,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9802,-875.0,-875.0,,,fail_to_pass,47,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.0864,369.0,369.0,,,fail_to_pass,54,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.973,308.0,308.0,,,fail_to_pass,55,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9262,-423.0,-423.0,,,fail_to_pass,57,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
0.9928,-1622.0,-1622.0,,,fail_to_pass,58,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.9748,968.0,,968.0,,pass_to_fail,28,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.928,-358.0,,-358.0,,pass_to_fail,30,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.9478,-202.0,,-202.0,,pass_to_fail,33,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.9676,-25.0,,-25.0,,pass_to_fail,36,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.9874,229.0,,229.0,,pass_to_fail,39,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.0468,-49.0,,-49.0,,pass_to_fail,48,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.0,-233.0,,-233.0,,pass_to_fail,50,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.0666,213.0,,213.0,,pass_to_fail,51,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
1.9532,-424.0,,-424.0,,pass_to_fail,52,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
2.0198,-1012.0,,-1012.0,,pass_to_fail,53,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.9766,539.0,,,539.0,pass_to_pass,1,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.9298,334.0,,,334.0,pass_to_pass,3,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
4.063,-2058.0,,,-2058.0,pass_to_pass,5,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
4.081,349.0,,,349.0,pass_to_pass,35,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
4.0738,536.0,,,536.0,pass_to_pass,43,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.9136,1272.0,,,1272.0,pass_to_pass,46,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
3.9334,-227.0,,,-227.0,pass_to_pass,49,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
4.0396,856.0,,,856.0,pass_to_pass,56,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
4.0594,43.0,,,43.0,pass_to_pass,59,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps
