x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,-178.0,,,-178.0,fail_to_fail,12,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.0756,-309.0,,,-309.0,fail_to_fail,16,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.0018,-157.0,,,-157.0,fail_to_fail,23,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.9406,2.0,,,2.0,fail_to_fail,41,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.027,-740.0,,,-740.0,fail_to_fail,45,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.946,-470.0,,,-470.0,fail_to_fail,60,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0432,-423.0,-423.0,,,fail_to_pass,2,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9496,-786.0,-786.0,,,fail_to_pass,6,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9226,119.0,119.0,,,fail_to_pass,11,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.982,-905.0,-905.0,,,fail_to_pass,20,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0882,-248.0,-248.0,,,fail_to_pass,27,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9946,-442.0,-442.0,,,fail_to_pass,31,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0612,-879.0,-879.0,,,fail_to_pass,32,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0144,-787.0,-787.0,,,fail_to_pass,34,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0342,247.0,247.0,,,fail_to_pass,37,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9208,-313.0,-313.0,,,fail_to_pass,38,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.054,-87.0,-87.0,,,fail_to_pass,40,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0072,79.0,79.0,,,fail_to_pass,42,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9604,-808.0,-808.0,,,fail_to_pass,44,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9802,664.0,664.0,,,fail_to_pass,47,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.0864,-615.0,-615.0,,,fail_to_pass,54,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.973,310.0,310.0,,,fail_to_pass,55,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9262,-36.0,-36.0,,,fail_to_pass,57,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
0.9928,-475.0,-475.0,,,fail_to_pass,58,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.9748,-657.0,,-657.0,,pass_to_fail,28,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.928,-63.0,,-63.0,,pass_to_fail,30,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.9478,375.0,,375.0,,pass_to_fail,33,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.9676,87.0,,87.0,,pass_to_fail,36,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.9874,470.0,,470.0,,pass_to_fail,39,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.0468,-835.0,,-835.0,,pass_to_fail,48,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.0,-249.0,,-249.0,,pass_to_fail,50,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.0666,-446.0,,-446.0,,pass_to_fail,51,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
1.9532,61.0,,61.0,,pass_to_fail,52,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
2.0198,388.0,,388.0,,pass_to_fail,53,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.9766,-651.0,,,-651.0,pass_to_pass,1,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.9298,-894.0,,,-894.0,pass_to_pass,3,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
4.063,-809.0,,,-809.0,pass_to_pass,5,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
4.081,-646.0,,,-646.0,pass_to_pass,35,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
4.0738,-800.0,,,-800.0,pass_to_pass,43,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.9136,-826.0,,,-826.0,pass_to_pass,46,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
3.9334,-250.0,,,-250.0,pass_to_pass,49,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
4.0396,236.0,,,236.0,pass_to_pass,56,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
4.0594,-301.0,,,-301.0,pass_to_pass,59,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps
