x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,-729.0,,,-729.0,fail_to_fail,12,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
3.0756,564.0,,,564.0,fail_to_fail,16,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
3.0018,564.0,,,564.0,fail_to_fail,23,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
2.9406,725.0,,,725.0,fail_to_fail,41,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
3.027,-1263.0,,,-1263.0,fail_to_fail,45,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
2.946,-559.0,,,-559.0,fail_to_fail,60,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
1.0432,-474.0,-474.0,,,fail_to_pass,2,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
0.9496,1287.0,1287.0,,,fail_to_pass,6,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
0.9226,771.0,771.0,,,fail_to_pass,11,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
0.982,416.0,416.0,,,fail_to_pass,20,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
1.0882,167.0,167.0,,,fail_to_pass,27,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
0.9946,-796.0,-796.0,,,fail_to_pass,31,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
1.0612,-229.0,-229.0,,,fail_to_pass,32,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps
