sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,892.0,1412.0,1644.0,1644.0,752.0,752.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,856.0,938.0,1953.0,1953.0,1097.0,1097.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,862.0,998.0,1702.0,1702.0,840.0,840.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,795.0,899.0,1845.0,1845.0,1050.0,1050.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,856.0,985.0,1787.0,1787.0,931.0,931.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1613.0,1993.0,2114.0,2114.0,501.0,501.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,907.0,1154.0,1595.0,1595.0,688.0,688.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1269.0,1593.0,1924.0,1924.0,655.0,655.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,781.0,922.0,1930.0,1930.0,1149.0,1149.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,809.0,1097.0,1876.0,1876.0,1067.0,1067.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,992.0,1253.0,1965.0,1965.0,973.0,973.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1223.0,1518.0,1753.0,1753.0,530.0,530.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,957.0,1054.0,2101.0,2101.0,1144.0,1144.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1134.0,1226.0,1565.0,1565.0,431.0,431.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,925.0,1332.0,2022.0,2022.0,1097.0,1097.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,994.0,1263.0,1675.0,1675.0,681.0,681.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1476.0,1860.0,2398.0,2398.0,922.0,922.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1233.0,1458.0,1552.0,1552.0,319.0,319.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1625.0,1832.0,2161.0,2161.0,536.0,536.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,939.0,1361.0,2634.0,2634.0,1695.0,1695.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1131.0,1192.0,1875.0,1875.0,744.0,744.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,927.0,1037.0,1879.0,1879.0,952.0,952.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,976.0,1360.0,1728.0,1728.0,752.0,752.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,805.0,1021.0,1983.0,1983.0,1178.0,1178.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,948.0,1008.0,1786.0,1786.0,838.0,838.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,754.0,888.0,1842.0,1842.0,1088.0,1088.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,787.0,1037.0,1878.0,1878.0,1091.0,1091.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1299.0,2032.0,2151.0,2151.0,852.0,852.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,991.0,1243.0,1682.0,1682.0,691.0,691.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1182.0,1483.0,2015.0,2015.0,833.0,833.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,869.0,1011.0,1786.0,1786.0,917.0,917.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,893.0,1054.0,1873.0,1873.0,980.0,980.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1049.0,1348.0,2142.0,2142.0,1093.0,1093.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1065.0,1529.0,1930.0,1930.0,865.0,865.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,907.0,1059.0,2332.0,2332.0,1425.0,1425.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,992.0,1230.0,1827.0,1827.0,835.0,835.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,899.0,1241.0,2019.0,2019.0,1120.0,1120.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,976.0,1167.0,1786.0,1786.0,810.0,810.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1649.0,2082.0,2135.0,2135.0,486.0,486.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1253.0,1411.0,1654.0,1654.0,401.0,401.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1588.0,1922.0,2256.0,2256.0,668.0,668.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,866.0,1463.0,1939.0,1939.0,1073.0,1073.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,833.0,1258.0,1975.0,1975.0,1142.0,1142.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1041.0,1347.0,2141.0,2141.0,1100.0,1100.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1197.0,1527.0,1845.0,1845.0,648.0,648.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,853.0,1148.0,2240.0,2240.0,1387.0,1387.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1003.0,1082.0,1735.0,1735.0,732.0,732.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,893.0,1240.0,2115.0,2115.0,1222.0,1222.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1031.0,1343.0,1875.0,1875.0,844.0,844.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1648.0,2029.0,2492.0,2492.0,844.0,844.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1241.0,1327.0,1646.0,1646.0,405.0,405.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1532.0,1856.0,2253.0,2253.0,721.0,721.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,944.0,1457.0,1934.0,1934.0,990.0,990.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1139.0,1251.0,1968.0,1968.0,829.0,829.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,716.0,864.0,1723.0,1723.0,1007.0,1007.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,856.0,1141.0,1657.0,1657.0,801.0,801.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,654.0,777.0,1886.0,1886.0,1232.0,1232.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,796.0,957.0,1664.0,1664.0,868.0,868.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,675.0,1011.0,1866.0,1866.0,1191.0,1191.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,811.0,1029.0,1695.0,1695.0,884.0,884.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1261.0,1667.0,2026.0,2026.0,765.0,765.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,860.0,1241.0,1340.0,1340.0,480.0,480.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1157.0,1562.0,1812.0,1812.0,655.0,655.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,786.0,943.0,1746.0,1746.0,960.0,960.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,444.0,745.0,1779.0,1779.0,1335.0,1335.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,575.0,783.0,1610.0,1610.0,1035.0,1035.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,912.0,1100.0,1371.0,1371.0,459.0,459.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,552.0,607.0,1708.0,1708.0,1156.0,1156.0
