family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[37]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[37\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[37\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[38]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[38\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[38\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[39]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[39\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[39\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[40]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[40\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[40\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[41]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[41\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[41\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[42]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[42\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[42\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[43]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[43\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[43\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[44]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[44\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[44\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[45]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[45\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[45\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[46]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[46\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[46\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
