family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[9],SLICE_LUTX,SLICE_X10Y113/B6LUT,SLICE_X10Y108/A6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[10],SLICE_LUTX,SLICE_X8Y100/C6LUT,SLICE_X11Y101/C6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[12],SLICE_LUTX,SLICE_X8Y106/B6LUT,SLICE_X11Y105/C6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[9],SLICE_LUTX,SLICE_X11Y111/A6LUT,SLICE_X11Y107/B6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[2],SLICE_LUTX,SLICE_X11Y92/A6LUT,SLICE_X11Y96/C6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[7],SLICE_LUTX,SLICE_X11Y94/B6LUT,SLICE_X11Y98/A6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[0],SLICE_LUTX,SLICE_X8Y100/D6LUT,SLICE_X11Y100/D6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[13],SLICE_LUTX,SLICE_X11Y98/A6LUT,SLICE_X11Y101/B6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[1],SLICE_LUTX,SLICE_X8Y106/A6LUT,SLICE_X11Y106/D6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[6],SLICE_LUTX,SLICE_X10Y99/B6LUT,SLICE_X11Y101/A6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[7],SLICE_LUTX,SLICE_X8Y100/A6LUT,SLICE_X11Y100/A6LUT
read_bist_state17,3,bist_counts[33]$LUT$N,SLICE_LUTX,SLICE_X2Y191/B6LUT,SLICE_X2Y188/B6LUT
read_bist_state17,3,bist_counts[34]$LUT$N,SLICE_LUTX,SLICE_X2Y191/C6LUT,SLICE_X2Y188/C6LUT
read_bist_state17,3,bist_counts[35]$LUT$N,SLICE_LUTX,SLICE_X2Y191/D6LUT,SLICE_X2Y188/D6LUT
read_bist_state17,3,bist_counts[36]$LUT$N,SLICE_LUTX,SLICE_X2Y192/A6LUT,SLICE_X2Y189/A6LUT
read_bist_state17,3,bist_counts[37]$LUT$N,SLICE_LUTX,SLICE_X2Y192/B6LUT,SLICE_X2Y189/B6LUT
read_bist_state17,3,bist_counts[38]$LUT$N,SLICE_LUTX,SLICE_X2Y192/C6LUT,SLICE_X2Y189/C6LUT
read_bist_state17,3,bist_counts[39]$LUT$N,SLICE_LUTX,SLICE_X2Y192/D6LUT,SLICE_X2Y189/D6LUT
read_bist_state17,3,bist_counts[40]$LUT$N,SLICE_LUTX,SLICE_X2Y193/A6LUT,SLICE_X2Y190/A6LUT
read_bist_state17,3,bist_counts[41]$LUT$N,SLICE_LUTX,SLICE_X2Y193/B6LUT,SLICE_X2Y190/B6LUT
read_bist_state17,3,bist_counts[42]$LUT$N,SLICE_LUTX,SLICE_X2Y193/C6LUT,SLICE_X2Y190/C6LUT
read_bist_state17,3,bist_counts[43]$LUT$N,SLICE_LUTX,SLICE_X2Y193/D6LUT,SLICE_X2Y190/D6LUT
read_bist_state17,3,bist_counts[44]$LUT$N,SLICE_LUTX,SLICE_X2Y194/A6LUT,SLICE_X2Y191/A6LUT
read_bist_state17,3,bist_counts[45]$LUT$N,SLICE_LUTX,SLICE_X2Y194/B6LUT,SLICE_X2Y191/B6LUT
