family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[49].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[49\]\$subcell\$OBUFT.OUT ddr3_dq\[49\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[49\]\$subcell\$OBUFT.OUT ddr3_dq\[49\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[4].PAD,(INTERCONNECT ddr3_top_inst\.ddr3_phy_inst\.genblk5\[4\]\.genblk1\.IOBUF_data\$subcell\$OBUFT.OUT ddr3_dq\[4\].PAD (0:0:0) (0:0:0)),(INTERCONNECT ddr3_top_inst\.ddr3_phy_inst\.genblk5\[4\]\.genblk1\.IOBUF_data\$subcell\$OBUFT.OUT ddr3_dq\[4\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[50].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[50\]\$subcell\$OBUFT.OUT ddr3_dq\[50\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[50\]\$subcell\$OBUFT.OUT ddr3_dq\[50\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[51].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[51\]\$subcell\$OBUFT.OUT ddr3_dq\[51\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[51\]\$subcell\$OBUFT.OUT ddr3_dq\[51\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[52].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[52\]\$subcell\$OBUFT.OUT ddr3_dq\[52\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[52\]\$subcell\$OBUFT.OUT ddr3_dq\[52\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[53].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[53\]\$subcell\$OBUFT.OUT ddr3_dq\[53\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[53\]\$subcell\$OBUFT.OUT ddr3_dq\[53\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[54].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[54\]\$subcell\$OBUFT.OUT ddr3_dq\[54\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[54\]\$subcell\$OBUFT.OUT ddr3_dq\[54\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[55].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[55\]\$subcell\$OBUFT.OUT ddr3_dq\[55\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[55\]\$subcell\$OBUFT.OUT ddr3_dq\[55\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[56].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[56\]\$subcell\$OBUFT.OUT ddr3_dq\[56\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[56\]\$subcell\$OBUFT.OUT ddr3_dq\[56\].PAD (0:0:0) (0:0:0))
dq_dqs_input,False,0.0,0.0,0.0,INTERCONNECT:ddr3_dq[57].PAD,(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[57\]\$subcell\$OBUFT.OUT ddr3_dq\[57\].PAD (0:0:0) (0:0:0)),(INTERCONNECT \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[57\]\$subcell\$OBUFT.OUT ddr3_dq\[57\].PAD (0:0:0) (0:0:0))
