sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-15,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1174.0,1656.0,2127.0,2127.0,953.0,953.0
baseline-no-lock-seed-16,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1185.0,1745.0,2187.0,2187.0,1002.0,1002.0
baseline-no-lock-seed-17,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1518.0,2003.0,2388.0,2388.0,870.0,870.0
baseline-no-lock-seed-18,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1452.0,1559.0,1907.0,1907.0,455.0,455.0
baseline-no-lock-seed-19,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1167.0,1286.0,1684.0,1684.0,517.0,517.0
baseline-no-lock-seed-2,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1095.0,1271.0,1925.0,1925.0,830.0,830.0
baseline-no-lock-seed-20,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1886.0,1924.0,2424.0,2424.0,538.0,538.0
baseline-no-lock-seed-21,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1159.0,1472.0,1746.0,1746.0,587.0,587.0
baseline-no-lock-seed-22,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1452.0,1850.0,2632.0,2632.0,1180.0,1180.0
baseline-no-lock-seed-23,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1333.0,1539.0,1697.0,1697.0,364.0,364.0
baseline-no-lock-seed-24,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1391.0,1582.0,1705.0,1705.0,314.0,314.0
baseline-no-lock-seed-25,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1069.0,1623.0,1940.0,1940.0,871.0,871.0
baseline-no-lock-seed-26,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1532.0,1726.0,1967.0,1967.0,435.0,435.0
baseline-no-lock-seed-27,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1916.0,2220.0,2388.0,2388.0,472.0,472.0
baseline-no-lock-seed-28,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1082.0,1723.0,2190.0,2190.0,1108.0,1108.0
baseline-no-lock-seed-29,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1292.0,1608.0,2177.0,2177.0,885.0,885.0
baseline-no-lock-seed-3,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1741.0,2108.0,2309.0,2309.0,568.0,568.0
baseline-no-lock-seed-30,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1335.0,1986.0,2246.0,2246.0,911.0,911.0
baseline-no-lock-seed-4,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1141.0,1598.0,2263.0,2263.0,1122.0,1122.0
baseline-no-lock-seed-5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1567.0,1707.0,1809.0,1809.0,242.0,242.0
baseline-no-lock-seed-6,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1523.0,2022.0,2448.0,2448.0,925.0,925.0
baseline-no-lock-seed-7,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1628.0,1875.0,2117.0,2117.0,489.0,489.0
baseline-no-lock-seed-8,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1172.0,1613.0,1623.0,1623.0,451.0,451.0
baseline-no-lock-seed-9,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1256.0,1802.0,1986.0,1986.0,730.0,730.0
baseline-no-lock-seed-1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1360.0,1878.0,2184.0,2184.0,824.0,824.0
baseline-no-lock-seed-10,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1411.0,1771.0,2049.0,2049.0,638.0,638.0
baseline-no-lock-seed-11,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1228.0,1348.0,1496.0,1496.0,268.0,268.0
baseline-no-lock-seed-12,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1235.0,1309.0,2049.0,2049.0,814.0,814.0
baseline-no-lock-seed-13,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1679.0,1995.0,2357.0,2357.0,678.0,678.0
baseline-no-lock-seed-14,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1225.0,1623.0,2171.0,2171.0,946.0,946.0
baseline-no-lock-seed-15,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1266.0,1611.0,2117.0,2117.0,851.0,851.0
baseline-no-lock-seed-16,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1093.0,1838.0,2061.0,2061.0,968.0,968.0
baseline-no-lock-seed-17,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1284.0,1845.0,2305.0,2305.0,1021.0,1021.0
baseline-no-lock-seed-18,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1537.0,1651.0,1876.0,1876.0,339.0,339.0
baseline-no-lock-seed-19,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1207.0,1343.0,1513.0,1513.0,306.0,306.0
