metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,clocking,lane0,dq1,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq2,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq3,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq4,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq5,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq6,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dq7,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane0,dqs0,,endpoint,8,1279.0,1279.0,1279.0,22,1279.0,1279.0,1279.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq10,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq11,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq12,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq13,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq14,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq15,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq8,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dq9,,endpoint,8,1314.0,1314.0,1314.0,22,1314.0,1314.0,1314.0,0,,,,0.0,0.0,
direct_max,clocking,lane1,dqs1,,endpoint,8,1279.0,1279.0,1279.0,22,1279.0,1279.0,1279.0,0,,,,0.0,0.0,
lane_spread,clocking,lane0,,,lane,8,135.0,135.0,135.0,22,135.0,135.0,135.0,0,,,,0.0,0.0,
lane_spread,clocking,lane1,,,lane,8,135.0,135.0,135.0,22,135.0,135.0,135.0,0,,,,0.0,0.0,
