delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
12306.0,414.0,12720.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index[4]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42733.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index\[4\]\$LUT\$200.A1 (414:414:414) (414:414:414)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index\[4\]\$LUT\$200.A1 (12720:12720:12720) (12720:12720:12720))
11994.0,545.0,12539.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[5]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42740.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[5\]\$LUT\$500.A1 (545:545:545) (545:545:545)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[5\]\$LUT\$500.A1 (12539:12539:12539) (12539:12539:12539))
11969.0,600.0,12569.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[2]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42737.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[2\]\$LUT\$488.A1 (600:600:600) (600:600:600)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[2\]\$LUT\$488.A1 (12569:12569:12569) (12569:12569:12569))
11437.0,323.0,11760.0,all,,['idelay_control'],INTERCONNECT:ddr3_top_inst.idelay_data_cntvaluein[2]$LUT$N.A1,(INTERCONNECT \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_phy_inst\.i_controller_idelay_data_cntvaluein\[2\].O6 ddr3_top_inst\.idelay_data_cntvaluein\[2\]\$LUT\$116.A1 (323:323:323) (323:323:323)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.idelay_data_cntvaluein\[2\]\$LUT\$116.A1 (11760:11760:11760) (11760:11760:11760))
10871.0,333.0,11204.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[13]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43212.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[13\]\$LUT\$312.A1 (333:333:333) (333:333:333)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[13\]\$LUT\$312.A1 (11204:11204:11204) (11204:11204:11204))
10804.0,326.0,11130.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[20]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29968.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[20\]\$LUT\$84.A1 (326:326:326) (326:326:326)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[20\]\$LUT\$84.A1 (11130:11130:11130) (11130:11130:11130))
10769.0,331.0,11100.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[24]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29972.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[24\]\$LUT\$100.A1 (331:331:331) (331:331:331)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[24\]\$LUT\$100.A1 (11100:11100:11100) (11100:11100:11100))
10729.0,460.0,11189.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[13]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29961.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[13\]\$LUT\$56.A1 (460:460:460) (460:460:460)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[13\]\$LUT\$56.A1 (11189:11189:11189) (11189:11189:11189))
10726.0,508.0,11234.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_data_randomized[103]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43206.Q ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[103\]\$LUT\$288.A1 (508:508:508) (508:508:508)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[103\]\$LUT\$288.A1 (11234:11234:11234) (11234:11234:11234))
10724.0,465.0,11189.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[12]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29960.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[12\]\$LUT\$52.A1 (465:465:465) (465:465:465)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[12\]\$LUT\$52.A1 (11189:11189:11189) (11189:11189:11189))
