label,pass,attempts,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,correct_read_data,wrong_read_data,idelayctrl_rdy_ever,state0_ready_gate_ever,state_ever_nonzero,state_returned_idle_after_nonzero,reset_from_calibrate_ever,sync_rst_reasserted_after_release,phy_reset_reasserted_after_release,wrong_read_seen,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_load_seen_mask,dqs_load_seen_mask,data_mismatch_lane_mask,dqs_mismatch_lane_mask,data_cntvalueout,dqs_cntvalueout,bitstream_sha256,result_file
baseline,True,63,,23,22,True,True,100663295,0,True,True,True,False,False,False,False,False,False,False,3,3,0,0,26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27,3 4,9fda4b3054a30b5982781f97b3f02faf1e6e669bedc404c10f799644ba3fc8ea,artifacts/hardware/instrumented-seed3-baseline.json
cntvaluein_only,True,63,,23,22,True,True,100663295,0,True,True,True,False,False,False,False,False,False,False,3,3,0,0,26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26,3 3,7a5c36a31a6e23eb8837133772e4b313f57efb74e8369ba5ac0b327e877f2818,artifacts/hardware/instrumented-seed3-idelay-control-locked.json
cntvaluein_plus_ld_parent,False,100,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,0,True,True,True,True,True,True,True,False,False,False,3,3,0,0,23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24,0 1,6b9122496b13567f7410123eacc7e0d5b8203a5c59f5058515ec54521e8e7110,artifacts/hardware/instrumented-seed3-idelay-control-full-locked.json
