experiment_id,variant,seed,baseline_status,previous_short_poll_pass,poll_count,poll_interval_s,attempts,returncode,started_at,finished_at,bitstream_sha256,bitstream,nextpnr_json,cvc_sdf,result_json,pass,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,correct_read_data,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,reset_from_calibrate_ever,reset_from_test_ever,sync_rst_reasserted_after_release,phy_reset_reasserted_after_release,wrong_read_seen,interpretation
cntvaluein3-skew-locked-seed12-long-poll,cntvaluein3-skew-locked,12,baseline-fail-reason2,False,500,0.1,500,2,2026-05-27T23:24:35.831688+00:00,2026-05-27T23:26:18.320082+00:00,31ccf66f6558b964889f0a6536e9bc8c618e0e57d2472c1c02317dd52ce73948,/nix/store/4gk51045jbdcvdcfsg9zq1qw01bymjnk-ypcb-ddr3-bitstream-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/k76fgq4ll5paraxkb1dm87lmn9c0mv7d-ypcb-ddr3-nextpnr-json-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7n5rpw3554b7gwybn7dny5a31yavm28w-ypcb-ddr3-cvc-sdf-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed12-long-poll.json,False,calib_incomplete;calib_state_not_done;bist_not_done,3,13,False,False,0,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,long-poll retest still fails without abort; final state 3 instruction 13
cntvaluein3-skew-locked-seed16-long-poll,cntvaluein3-skew-locked,16,baseline-fail-startup,False,500,0.1,500,2,2026-05-27T23:26:28.473127+00:00,2026-05-27T23:28:11.046345+00:00,26a05683a9ffaf110a4266c0886fe4d51689e053b15a569a525cfe35f9ed6523,/nix/store/34xq2vwhlppaavw3jfld5vpkdnn41chv-ypcb-ddr3-bitstream-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/ya76snrny6p11wppwpz76j4ammyiqjj2-ypcb-ddr3-nextpnr-json-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/sya4zl6f89bcdrif52g2gm8xwnymslpr-ypcb-ddr3-cvc-sdf-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed16-long-poll.json,False,calib_incomplete;calib_state_not_done;bist_not_done,0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33
cntvaluein3-skew-locked-seed23-long-poll,cntvaluein3-skew-locked,23,baseline-fail-reason2,False,500,0.1,500,2,2026-05-27T23:28:19.262820+00:00,2026-05-27T23:30:01.354816+00:00,ab1687e28e8c2745919691dd2dbecf2f7abf0006d9e9edcea0f04b673d03e4af,/nix/store/df666f0dvvhqg48r318fn5i7b805qvk1-ypcb-ddr3-bitstream-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/ywgvqpnn5cvpyx2q5bmln2k1zpjjz89z-ypcb-ddr3-nextpnr-json-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/n6z627lni9wgm7651pbpfg1nb0c7pzwc-ypcb-ddr3-cvc-sdf-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed23-long-poll.json,False,calib_incomplete;calib_state_not_done;bist_not_done,0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33
cntvaluein3-skew-locked-seed28-long-poll,cntvaluein3-skew-locked,28,baseline-pass-control,False,500,0.1,500,2,2026-05-27T23:30:18.273268+00:00,2026-05-27T23:31:59.193983+00:00,6a014c56a963e3b3ce834c5b9a4f4d89aea8e58ac1464207cdef5f07c611269a,/nix/store/s9vk51cj25jvjd708c2dmwkwka2i3jd2-ypcb-ddr3-bitstream-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/qy7r5dyanp6k205ww90nyh12njjh6k2l-ypcb-ddr3-nextpnr-json-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/6p2hfqii4cbk0hx76xg254vhds4lyr02-ypcb-ddr3-cvc-sdf-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed28-long-poll.json,False,calib_incomplete;calib_state_not_done;bist_not_done,0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33
cntvaluein3-skew-locked-seed30-long-poll,cntvaluein3-skew-locked,30,baseline-pass-control,False,500,0.1,500,2,2026-05-27T23:32:07.933346+00:00,2026-05-27T23:33:49.461102+00:00,36b2de2539112d2e6242ebce643b8abcda47ad5a230f7900e2a13efe3764e377,/nix/store/qmcpnwk273xfcnpk77g69f53v68fqgl8-ypcb-ddr3-bitstream-seed-30-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/6dcw2d3x9h06j55bnx71n6fggpfpvrx2-ypcb-ddr3-nextpnr-json-seed-30-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/f5n5mh496vjaajj5nbdqgni64xyjqjp7-ypcb-ddr3-cvc-sdf-seed-30-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed30-long-poll.json,False,calib_incomplete;calib_state_not_done;bist_not_done,0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33
