metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_data_cntvaluein,lane1,dq15,1,endpoint,2,1396.0,1440.5,1485.0,1,1159.0,1159.0,1159.0,2,1207.0,1328.5,1450.0,281.5,237.0,-112.0
direct_max,idelay_data_cntvaluein,lane0,dq2,4,endpoint,2,1787.0,1990.0,2193.0,1,1712.0,1712.0,1712.0,2,2049.0,2435.5,2822.0,278.0,75.0,445.5
direct_max,idelay_data_cntvaluein,lane0,dq5,1,endpoint,2,1726.0,1736.0,1746.0,1,1470.0,1470.0,1470.0,2,1286.0,1422.5,1559.0,266.0,256.0,-313.5
direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,2,2121.0,2272.0,2423.0,1,2006.0,2006.0,2006.0,2,1378.0,1608.0,1838.0,266.0,115.0,-664.0
direct_max,idelayctrl,all,,,endpoint,2,3089.0,3230.0,3371.0,1,2970.0,2970.0,2970.0,2,2759.0,2851.5,2944.0,260.0,119.0,-378.5
lane_spread,idelayctrl,all,,,lane,2,1963.0,2104.0,2245.0,1,1844.0,1844.0,1844.0,2,1633.0,1725.5,1818.0,260.0,119.0,-378.5
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,2,2141.0,2234.5,2328.0,1,1975.0,1975.0,1975.0,2,1450.0,1777.5,2105.0,259.5,166.0,-457.0
direct_max,idelay_data_cntvaluein,lane1,dq9,2,endpoint,2,1371.0,1451.5,1532.0,1,1212.0,1212.0,1212.0,2,1154.0,1259.5,1365.0,239.5,159.0,-192.0
direct_max,idelay_data_cntvaluein,lane1,dq15,2,endpoint,2,1442.0,1447.0,1452.0,1,1223.0,1223.0,1223.0,2,1065.0,1220.5,1376.0,224.0,219.0,-226.5
control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,2,313.0,502.5,692.0,1,282.0,282.0,282.0,2,336.0,485.5,635.0,220.5,31.0,-17.0
direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,2,2207.0,2314.0,2421.0,1,2094.0,2094.0,2094.0,2,1286.0,1741.5,2197.0,220.0,113.0,-572.5
