index,seed,value_ps,pass_value_ps,fail_value_ps,status,failure_class,run_group,variant,experiment_id
1,1,1315.0,1315.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
2,2,1429.0,,1429.0,fail,fail_abort2_lane1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-2
3,3,2342.0,2342.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
4,4,1921.0,1921.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
5,5,1894.0,1894.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
6,6,1993.0,,1993.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-6
7,7,1909.0,1909.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
8,8,1447.0,1447.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
9,9,1894.0,1894.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
10,10,1935.0,1935.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
11,11,1590.0,,1590.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-11
12,12,1310.0,,1310.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-12
13,13,1590.0,1590.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
14,14,2236.0,2236.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
15,15,1391.0,1391.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-15
16,16,2108.0,,2108.0,fail,fail_no_abort_or_startup,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-16
17,17,2259.0,2259.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-17
18,18,1641.0,1641.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-18
19,19,1305.0,1305.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-19
20,20,1638.0,,1638.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-20
21,21,1409.0,1409.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-21
22,22,1863.0,1863.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-22
23,23,1532.0,,1532.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-23
24,24,1733.0,1733.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-24
25,25,1631.0,1631.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-25
26,26,1574.0,1574.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-26
27,27,1950.0,,1950.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-27
28,28,2062.0,2062.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-28
29,29,2006.0,2006.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-29
30,30,1730.0,1730.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-30
31,12,935.0,,935.0,fail,fail_no_abort_or_startup,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed12-long-poll
32,16,992.0,,992.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed16-long-poll
33,23,976.0,,976.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed23-long-poll
34,28,1345.0,,1345.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed28-long-poll
35,30,1588.0,,1588.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed30-long-poll
36,1,1202.0,1202.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
37,5,1476.0,1476.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
38,6,1136.0,1136.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
39,11,1065.0,1065.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
40,20,1241.0,1241.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed20
41,27,1649.0,1649.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed27
42,3,2342.0,2342.0,,pass,pass,payload_v3_exact_abort,baseline,exact-abort-seed3-baseline
43,3,2275.0,2275.0,,pass,pass,payload_v3_exact_abort,cntvaluein_only,exact-abort-seed3-idelay-control-locked
44,3,1794.0,,1794.0,fail,fail_abort2_lane0,payload_v3_exact_abort,cntvaluein_plus_ld_parent,exact-abort-seed3-idelay-control-full-locked
45,31,1899.0,,1899.0,fail,fail_no_abort_or_startup,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-31
46,31,1866.0,1866.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-31
47,32,2335.0,,2335.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-32
48,32,1021.0,1021.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-32
49,33,1741.0,1741.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-33
50,33,1552.0,,1552.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-33
51,34,1705.0,,1705.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-34
52,34,1424.0,1424.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-34
53,35,1830.0,1830.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-35
54,35,929.0,929.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-35
55,36,1667.0,1667.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-36
56,36,1531.0,,1531.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-36
