sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1297.0,1437.0,1843.0,1843.0,546.0,546.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1269.0,1958.0,2063.0,2063.0,794.0,794.0
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1217.0,1667.0,2358.0,2358.0,1141.0,1141.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1358.0,1572.0,2075.0,2075.0,717.0,717.0
baseline-no-lock-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1207.0,1427.0,1881.0,1881.0,674.0,674.0
baseline-no-lock-seed-42,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1138.0,1463.0,1577.0,1577.0,439.0,439.0
baseline-no-lock-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1164.0,1593.0,1911.0,1911.0,747.0,747.0
baseline-no-lock-seed-44,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1235.0,1572.0,2088.0,2088.0,853.0,853.0
baseline-no-lock-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1082.0,1600.0,1830.0,1830.0,748.0,748.0
baseline-no-lock-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1603.0,1891.0,1983.0,1983.0,380.0,380.0
baseline-no-lock-seed-47,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1105.0,1389.0,1542.0,1542.0,437.0,437.0
baseline-no-lock-seed-48,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1662.0,2012.0,2415.0,2415.0,753.0,753.0
baseline-no-lock-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1588.0,2032.0,2328.0,2328.0,740.0,740.0
baseline-no-lock-seed-50,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1432.0,1631.0,2275.0,2275.0,843.0,843.0
baseline-no-lock-seed-51,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1164.0,1598.0,2132.0,2132.0,968.0,968.0
baseline-no-lock-seed-52,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1213.0,1649.0,1960.0,1960.0,747.0,747.0
baseline-no-lock-seed-53,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1402.0,1807.0,1972.0,1972.0,570.0,570.0
baseline-no-lock-seed-54,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1529.0,1898.0,2186.0,2186.0,657.0,657.0
baseline-no-lock-seed-55,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1350.0,1628.0,2066.0,2066.0,716.0,716.0
baseline-no-lock-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1350.0,1452.0,1654.0,1654.0,304.0,304.0
baseline-no-lock-seed-57,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1629.0,1804.0,2453.0,2453.0,824.0,824.0
baseline-no-lock-seed-58,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,2056.0,2187.0,2296.0,2296.0,240.0,240.0
baseline-no-lock-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1807.0,1916.0,2217.0,2217.0,410.0,410.0
baseline-no-lock-seed-60,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1437.0,1700.0,1751.0,1751.0,314.0,314.0
baseline-no-lock-seed-31,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1488.0,1805.0,2249.0,2249.0,761.0,761.0
baseline-no-lock-seed-32,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1830.0,2219.0,2467.0,2467.0,637.0,637.0
baseline-no-lock-seed-33,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1419.0,1516.0,1649.0,1649.0,230.0,230.0
baseline-no-lock-seed-34,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1465.0,1738.0,2178.0,2178.0,713.0,713.0
baseline-no-lock-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1478.0,1695.0,2082.0,2082.0,604.0,604.0
baseline-no-lock-seed-36,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1491.0,1983.0,2124.0,2124.0,633.0,633.0
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1205.0,1519.0,1799.0,1799.0,594.0,594.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1202.0,1955.0,2157.0,2157.0,955.0,955.0
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1138.0,1547.0,2371.0,2371.0,1233.0,1233.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1215.0,1664.0,1945.0,1945.0,730.0,730.0
baseline-no-lock-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1297.0,1501.0,1717.0,1717.0,420.0,420.0
baseline-no-lock-seed-42,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1248.0,1546.0,1634.0,1634.0,386.0,386.0
baseline-no-lock-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1024.0,1638.0,2006.0,2006.0,982.0,982.0
baseline-no-lock-seed-44,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1157.0,1659.0,2180.0,2180.0,1023.0,1023.0
baseline-no-lock-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1177.0,1692.0,1766.0,1766.0,589.0,589.0
baseline-no-lock-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1185.0,1838.0,2107.0,2107.0,922.0,922.0
baseline-no-lock-seed-47,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1274.0,1485.0,1577.0,1577.0,303.0,303.0
baseline-no-lock-seed-48,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1758.0,1965.0,2233.0,2233.0,475.0,475.0
baseline-no-lock-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1588.0,1805.0,2421.0,2421.0,833.0,833.0
baseline-no-lock-seed-50,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1378.0,1725.0,2099.0,2099.0,721.0,721.0
baseline-no-lock-seed-51,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1340.0,1671.0,1960.0,1960.0,620.0,620.0
baseline-no-lock-seed-52,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1309.0,1687.0,2042.0,2042.0,733.0,733.0
baseline-no-lock-seed-53,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1393.0,1804.0,1975.0,1975.0,582.0,582.0
baseline-no-lock-seed-54,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1608.0,1993.0,2279.0,2279.0,671.0,671.0
baseline-no-lock-seed-55,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1258.0,1652.0,2161.0,2161.0,903.0,903.0
baseline-no-lock-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1248.0,1628.0,1766.0,1766.0,518.0,518.0
baseline-no-lock-seed-57,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1710.0,1911.0,2240.0,2240.0,530.0,530.0
baseline-no-lock-seed-58,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,2038.0,2092.0,2339.0,2339.0,301.0,301.0
baseline-no-lock-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1901.0,2002.0,2312.0,2312.0,411.0,411.0
baseline-no-lock-seed-60,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1256.0,1529.0,1866.0,1866.0,610.0,610.0
baseline-no-lock-seed-31,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1429.0,1590.0,1935.0,1935.0,506.0,506.0
baseline-no-lock-seed-32,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1560.0,1968.0,2296.0,2296.0,736.0,736.0
baseline-no-lock-seed-33,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1156.0,1277.0,1514.0,1514.0,358.0,358.0
baseline-no-lock-seed-34,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1266.0,1565.0,1730.0,1730.0,464.0,464.0
baseline-no-lock-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1195.0,1412.0,2107.0,2107.0,912.0,912.0
baseline-no-lock-seed-36,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1159.0,1608.0,1902.0,1902.0,743.0,743.0
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1208.0,1611.0,1815.0,1815.0,607.0,607.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1228.0,1557.0,1848.0,1848.0,620.0,620.0
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1215.0,1366.0,2107.0,2107.0,892.0,892.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1174.0,1373.0,1789.0,1789.0,615.0,615.0
baseline-no-lock-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1299.0,1350.0,1828.0,1828.0,529.0,529.0
baseline-no-lock-seed-42,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1133.0,1414.0,1518.0,1518.0,385.0,385.0
baseline-no-lock-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1067.0,1304.0,1442.0,1442.0,375.0,375.0
baseline-no-lock-seed-44,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1286.0,1526.0,2039.0,2039.0,753.0,753.0
baseline-no-lock-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,985.0,1284.0,1626.0,1626.0,641.0,641.0
baseline-no-lock-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1345.0,1697.0,1840.0,1840.0,495.0,495.0
baseline-no-lock-seed-47,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1042.0,1157.0,1529.0,1529.0,487.0,487.0
baseline-no-lock-seed-48,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1463.0,1675.0,2012.0,2012.0,549.0,549.0
baseline-no-lock-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1552.0,1866.0,2009.0,2009.0,457.0,457.0
baseline-no-lock-seed-50,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1376.0,1616.0,2124.0,2124.0,748.0,748.0
baseline-no-lock-seed-51,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1070.0,1501.0,2029.0,2029.0,959.0,959.0
baseline-no-lock-seed-52,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1368.0,1565.0,1875.0,1875.0,507.0,507.0
baseline-no-lock-seed-53,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1368.0,1478.0,1753.0,1753.0,385.0,385.0
baseline-no-lock-seed-54,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1554.0,1667.0,1975.0,1975.0,421.0,421.0
baseline-no-lock-seed-55,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1379.0,1605.0,1929.0,1929.0,550.0,550.0
baseline-no-lock-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1105.0,1179.0,1702.0,1702.0,597.0,597.0
baseline-no-lock-seed-57,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1195.0,1671.0,2125.0,2125.0,930.0,930.0
baseline-no-lock-seed-58,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1792.0,1980.0,2013.0,2013.0,221.0,221.0
baseline-no-lock-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1595.0,1779.0,1865.0,1865.0,270.0,270.0
baseline-no-lock-seed-60,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1297.0,1386.0,1687.0,1687.0,390.0,390.0
baseline-no-lock-seed-31,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1598.0,1804.0,2210.0,2210.0,612.0,612.0
baseline-no-lock-seed-32,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1692.0,2157.0,2612.0,2612.0,920.0,920.0
baseline-no-lock-seed-33,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1414.0,1491.0,1652.0,1652.0,238.0,238.0
baseline-no-lock-seed-34,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1470.0,1745.0,2171.0,2171.0,701.0,701.0
baseline-no-lock-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1389.0,1552.0,1991.0,1991.0,602.0,602.0
baseline-no-lock-seed-36,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1483.0,2046.0,2141.0,2141.0,658.0,658.0
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1121.0,1570.0,1927.0,1927.0,806.0,806.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1289.0,1983.0,2154.0,2154.0,865.0,865.0
