feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,column,experiments_present,present_fraction,pass_median_ps,fail_median_ps,fail_minus_pass_median_ps
skew::signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,skew_signed_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_2_ld_vs_cntvaluein_dq_lane_value_ps,103,0.971698,87.0,157.25,70.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_2_dqs_vs_dq_bit_value_ps,103,0.971698,-28.0,44.5,72.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_0_dqs_vs_dq_bit_value_ps,103,0.971698,84.0,-102.5,-186.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_2_dqs_vs_dq_bit_value_ps,103,0.971698,-163.0,-117.0,46.0
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq6_ctrl_2_dqs_vs_dq_bit_value_ps,103,0.971698,-184.0,-20.0,164.0
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq8_ctrl_2_dqs_vs_dq_bit_value_ps,103,0.971698,-132.0,-150.5,-18.5
skew::abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,skew,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit_ctrl_4_lane1_vs_lane0_dqs_value_ps,103,0.971698,278.0,204.0,-74.0
skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_2_ld_vs_cntvaluein_dq_lane_value_ps,103,0.971698,271.5,278.75,7.25
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq9_ctrl_0_dqs_vs_dq_bit_value_ps,103,0.971698,217.0,142.0,-75.0
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq13_ctrl_3_dqs_vs_dq_bit_value_ps,103,0.971698,204.0,286.5,82.5
