sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,1411.0,1549.0,1608.0,1608.0,197.0,197.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,1310.0,1726.0,1896.0,1896.0,586.0,586.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1180.0,1730.0,1985.0,1985.0,805.0,805.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1345.0,1549.0,1756.0,1756.0,411.0,411.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1544.0,1777.0,1891.0,1891.0,347.0,347.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1129.0,1348.0,1643.0,1643.0,514.0,514.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1190.0,1337.0,1652.0,1652.0,462.0,462.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1194.0,1514.0,1542.0,1542.0,348.0,348.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1264.0,1817.0,1904.0,1904.0,640.0,640.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1376.0,1639.0,1848.0,1848.0,472.0,472.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1542.0,1634.0,1819.0,1819.0,277.0,277.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1350.0,1437.0,1664.0,1664.0,314.0,314.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1271.0,1424.0,1743.0,1743.0,472.0,472.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1274.0,1498.0,1600.0,1600.0,326.0,326.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1282.0,1718.0,2016.0,2016.0,734.0,734.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1641.0,1779.0,2332.0,2332.0,691.0,691.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1605.0,1988.0,2076.0,2076.0,471.0,471.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1078.0,1452.0,1809.0,1809.0,731.0,731.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1368.0,1649.0,1819.0,1819.0,451.0,451.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1213.0,1532.0,2181.0,2181.0,968.0,968.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1741.0,2050.5,2154.0,2154.0,413.0,413.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1335.0,1390.0,1557.0,1557.0,222.0,222.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1789.0,1970.0,2144.0,2144.0,355.0,355.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1815.0,2069.5,2167.0,2167.0,352.0,352.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1503.0,1781.0,1922.0,1922.0,419.0,419.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1968.0,2068.5,2230.0,2230.0,262.0,262.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,2177.0,2313.5,2401.0,2401.0,224.0,224.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,1672.0,1864.0,1945.0,1945.0,273.0,273.0
