feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,1,ld_vs_cntvaluein_dq_lane,6,4,-336.0,411.0,494.5,251.5,547.75,720.5,136.75,-243.0,-1056.5,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dq,6,4,-562.5,-374.5,20.5,-386.0,-244.0,-125.5,130.5,-406.5,-437.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,6,4,-867.0,-321.5,-32.0,-1230.0,-17.0,253.0,304.5,-1198.0,-1120.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,1,ld_vs_cntvaluein_dqs,6,4,-461.0,-4.5,245.0,-176.0,142.5,482.0,147.0,-421.0,-943.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,1,ld_vs_cntvaluein_dq_lane,6,4,335.5,411.0,494.5,251.5,547.75,720.5,136.75,-243.0,-385.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,1,dq_lane,6,4,179.0,331.0,638.0,324.0,456.5,622.0,125.5,-314.0,-443.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,6,4,-612.0,91.0,642.0,38.0,176.0,357.0,85.0,-604.0,-969.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,1,dq_lane,6,4,187.0,439.0,537.0,368.0,487.5,658.0,48.5,-169.0,-471.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,6,4,-535.0,95.0,620.0,-33.0,281.5,536.0,186.5,-653.0,-1071.0,0.625,fail_higher,0.625,0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,6,4,-535.0,107.5,564.0,-72.0,249.5,447.0,142.0,-636.0,-982.0,0.625,fail_higher,0.625,0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,6,4,28.0,330.5,788.0,154.0,419.0,884.0,88.5,-634.0,-856.0,0.625,fail_higher,0.625,0.25,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,6,4,28.0,330.5,788.0,154.0,419.0,884.0,88.5,-634.0,-856.0,0.625,fail_higher,0.625,0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,6,4,-385.0,316.0,563.0,-60.0,236.0,656.0,-80.0,-623.0,-1041.0,0.625,fail_higher,0.625,0.25,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,6,4,83.5,362.25,498.0,277.5,427.75,591.5,65.5,-220.5,-508.0,0.625,fail_higher,0.625,0.25,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,6,4,95.5,281.0,554.5,204.5,249.75,724.5,-31.25,-350.0,-629.0,0.625,fail_higher,0.625,0.25,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,6,4,20.0,203.5,461.0,118.0,220.0,469.0,16.5,-343.0,-449.0,0.625,fail_higher,0.625,0.25,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,6,4,177.0,300.5,658.0,196.0,448.0,679.0,147.5,-462.0,-502.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,6,4,-232.5,290.0,628.0,-56.5,157.75,633.0,-132.25,-684.5,-865.5,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,dqs_vs_dq_bit,6,4,-383.0,136.5,616.0,53.0,206.0,441.0,69.5,-563.0,-824.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,6,4,24.5,176.0,318.0,66.0,245.0,313.5,69.0,-252.0,-289.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane1,dqs1,,dqs_vs_dq_lane,6,4,-105.0,54.0,249.0,-158.5,107.5,239.5,53.5,-407.5,-344.5,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,6,4,68.0,225.25,645.0,117.0,271.25,444.0,46.0,-528.0,-376.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
dq_lane_range__iologic_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane1,,,dq_lane,6,4,603.0,821.0,1066.0,630.0,856.0,997.0,35.0,-436.0,-394.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,6,4,-204.0,326.5,700.0,-53.0,302.0,801.0,-24.5,-753.0,-1005.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,6,4,-616.0,227.0,736.0,133.0,246.0,359.0,19.0,-603.0,-975.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane0__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane0,,,dq_lane,6,4,141.0,230.5,505.0,186.0,246.0,317.0,15.5,-319.0,-176.0,0.583333,fail_higher,0.583333,0.166667,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,6,4,72.0,275.0,523.0,15.0,338.0,413.0,63.0,-508.0,-341.0,0.5625,fail_higher,0.5625,0.125,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,0,dq_lane,6,4,88.0,323.5,541.0,283.0,338.0,500.0,14.5,-258.0,-412.0,0.5625,fail_higher,0.5625,0.125,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,6,4,-245.0,265.5,747.0,197.0,539.5,573.0,274.0,-550.0,-818.0,0.541667,fail_higher,0.541667,0.083333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,6,4,-304.0,249.5,658.0,278.0,450.5,490.0,201.0,-380.0,-794.0,0.541667,fail_higher,0.541667,0.083333,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,6,4,-37.5,362.0,558.0,-21.0,320.25,692.5,-41.75,-579.0,-730.0,0.541667,fail_higher,0.541667,0.083333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,6,4,-110.0,318.0,651.0,16.0,290.5,644.0,-27.5,-635.0,-754.0,0.541667,fail_higher,0.541667,0.083333,overlap,0.0
