feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,22,8,272.0,565.5,1075.0,227.0,465.5,808.0,-100.0,-848.0,-536.0,0.380682,fail_lower,0.619318,-0.238636,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,22,8,388.0,651.5,1185.0,283.0,602.0,995.0,-49.5,-902.0,-607.0,0.380682,fail_lower,0.619318,-0.238636,overlap,0.0
lane_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane1,,,lane,22,8,591.0,877.5,1332.0,510.0,857.5,1042.0,-20.0,-822.0,-451.0,0.380682,fail_lower,0.619318,-0.238636,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq3__ctrl_none__dq3__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,22,8,293.0,628.5,1249.0,303.0,496.5,853.0,-132.0,-946.0,-560.0,0.386364,fail_lower,0.613636,-0.227273,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,1,endpoint,22,8,1291.0,1809.5,2816.0,1312.0,1720.0,1934.0,-89.5,-1504.0,-643.0,0.386364,fail_lower,0.613636,-0.227273,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,1,endpoint,22,8,1136.0,1364.5,1703.0,941.0,1282.5,1731.0,-82.0,-762.0,-595.0,0.386364,fail_lower,0.613636,-0.227273,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,22,8,958.0,1294.5,1898.0,810.0,1200.0,1559.0,-94.5,-1088.0,-601.0,0.389205,fail_lower,0.610795,-0.221591,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,22,8,220.0,366.0,626.0,181.0,338.0,404.0,-28.0,-445.0,-184.0,0.392045,fail_lower,0.607955,-0.215909,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,1,endpoint,22,8,1208.0,1809.0,2819.0,1144.0,1720.0,1894.0,-89.0,-1675.0,-686.0,0.397727,fail_lower,0.602273,-0.204545,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,22,8,1039.0,1687.0,2548.0,1215.0,1603.5,2038.0,-83.5,-1333.0,-999.0,0.400568,fail_lower,0.599432,-0.198864,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,22,8,270.0,623.0,1266.0,228.0,544.0,900.0,-79.0,-1038.0,-630.0,0.411932,fail_lower,0.588068,-0.176136,overlap,0.0
direct_max__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq8,,endpoint,22,8,2104.0,2578.5,4359.0,2085.0,2446.5,3513.0,-132.0,-2274.0,-1409.0,0.420455,fail_lower,0.579545,-0.159091,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq5__ctrl_none__dq5__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,22,8,220.0,596.5,1276.0,311.0,512.0,858.0,-84.5,-965.0,-638.0,0.420455,fail_lower,0.579545,-0.159091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,0,endpoint,22,8,870.0,1184.0,1633.0,884.0,1102.5,1662.0,-81.5,-749.0,-792.0,0.420455,fail_lower,0.579545,-0.159091,overlap,0.0
lane_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane0,,,lane,22,8,587.0,1027.0,1739.0,457.0,978.5,1325.0,-48.5,-1282.0,-738.0,0.420455,fail_lower,0.579545,-0.159091,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,22,8,1159.0,1593.5,2384.0,1167.0,1457.0,1945.0,-136.5,-1217.0,-786.0,0.426136,fail_lower,0.573864,-0.147727,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq14__ctrl_none__dq14__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,22,8,192.0,567.0,1034.0,306.0,466.0,727.0,-101.0,-728.0,-535.0,0.426136,fail_lower,0.573864,-0.147727,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,endpoint,22,8,903.0,1325.0,2098.0,976.0,1245.5,1766.0,-79.5,-1122.0,-863.0,0.426136,fail_lower,0.573864,-0.147727,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq12__ctrl_none__dq12__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,22,8,186.0,506.5,1116.0,174.0,459.0,798.0,-47.5,-942.0,-612.0,0.428977,fail_lower,0.571023,-0.142045,overlap,0.0
direct_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,clocking,all,,,endpoint,22,8,6105.0,6816.5,7275.0,5985.0,6787.5,7079.0,-29.0,-1290.0,-974.0,0.428977,fail_lower,0.571023,-0.142045,overlap,0.0
lane_spread__clocking__all__no_bit__ctrl_none__lane__value_ps,lane_spread,clocking,all,,,lane,22,8,5986.0,6697.5,7156.0,5866.0,6668.5,6960.0,-29.0,-1290.0,-974.0,0.428977,fail_lower,0.571023,-0.142045,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq11__ctrl_none__dq11__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,22,8,219.0,462.0,864.0,238.0,439.5,651.0,-22.5,-626.0,-432.0,0.428977,fail_lower,0.571023,-0.142045,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,22,8,1146.0,1493.0,1916.0,864.0,1432.0,2062.0,-61.0,-1052.0,-916.0,0.431818,fail_lower,0.568182,-0.136364,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,22,8,128.0,315.0,688.0,151.0,297.0,444.0,-18.0,-537.0,-316.0,0.431818,fail_lower,0.568182,-0.136364,overlap,0.0
lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,lane,22,8,533.0,1720.0,2368.0,788.0,1400.0,2390.0,-320.0,-1580.0,-1857.0,0.434659,fail_lower,0.565341,-0.130682,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,22,8,922.0,1351.5,1995.0,866.0,1275.5,1812.0,-76.0,-1129.0,-890.0,0.4375,fail_lower,0.5625,-0.125,overlap,0.0
direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,endpoint,22,8,1659.0,2788.5,3494.0,1914.0,2526.0,3516.0,-262.5,-1580.0,-1857.0,0.440341,fail_lower,0.559659,-0.119318,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,22,8,1305.0,1798.0,2342.0,1310.0,1614.0,2108.0,-184.0,-1032.0,-803.0,0.440341,fail_lower,0.559659,-0.119318,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,22,8,1184.0,1621.0,2177.0,1093.0,1565.5,2023.0,-55.5,-1084.0,-839.0,0.443182,fail_lower,0.556818,-0.113636,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,22,8,1080.0,1587.5,2063.0,1131.0,1408.0,2085.0,-179.5,-932.0,-1005.0,0.448864,fail_lower,0.551136,-0.102273,overlap,0.0
direct_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,reset_release,all,,,endpoint,22,8,495.0,699.0,1544.0,495.0,652.0,1065.0,-47.0,-1049.0,-570.0,0.448864,fail_lower,0.551136,-0.102273,overlap,0.0
lane_spread__reset_release__all__no_bit__ctrl_none__lane__value_ps,lane_spread,reset_release,all,,,lane,22,8,495.0,699.0,1544.0,495.0,652.0,1065.0,-47.0,-1049.0,-570.0,0.448864,fail_lower,0.551136,-0.102273,overlap,0.0
direct_max__idelay_ld__lane1__dq10__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq10,,endpoint,22,8,1286.0,1593.0,1960.0,1330.0,1550.0,1970.0,-43.0,-630.0,-684.0,0.448864,fail_lower,0.551136,-0.102273,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq1__ctrl_none__dq1__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,22,8,242.0,677.5,1180.0,278.0,684.0,1002.0,6.5,-902.0,-760.0,0.448864,fail_lower,0.551136,-0.102273,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,22,8,1054.0,1384.5,2006.0,986.0,1336.5,1957.0,-48.0,-1020.0,-903.0,0.457386,fail_lower,0.542614,-0.085227,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,22,8,1207.0,1749.5,2177.0,1309.0,1680.5,2118.0,-69.0,-868.0,-911.0,0.460227,fail_lower,0.539773,-0.079545,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,1,endpoint,22,8,883.0,1386.0,1917.0,1098.0,1332.5,1756.0,-53.5,-819.0,-873.0,0.460227,fail_lower,0.539773,-0.079545,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,22,8,1258.0,1785.0,2395.0,1241.0,1695.0,2282.0,-90.0,-1154.0,-1024.0,0.463068,fail_lower,0.536932,-0.073864,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,22,8,1069.0,1655.0,2246.0,1185.0,1716.5,2234.0,61.5,-1061.0,-1165.0,0.465909,fail_lower,0.534091,-0.068182,overlap,0.0
direct_max__idelay_ld__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq15,,endpoint,22,8,1024.0,1396.5,1712.0,1006.0,1295.5,1856.0,-101.0,-706.0,-832.0,0.471591,fail_lower,0.528409,-0.056818,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,22,8,870.0,1580.5,2032.0,1116.0,1481.5,2216.0,-99.0,-916.0,-1346.0,0.471591,fail_lower,0.528409,-0.056818,overlap,0.0
direct_max__idelay_ld__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq4,,endpoint,22,8,1246.0,1717.5,2316.0,1355.0,1665.0,2211.0,-52.5,-961.0,-965.0,0.471591,fail_lower,0.528409,-0.056818,overlap,0.0
direct_max__idelay_ld__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq5,,endpoint,22,8,1381.0,1552.0,1860.0,1353.0,1610.0,1929.0,58.0,-507.0,-548.0,0.480114,fail_lower,0.519886,-0.039773,overlap,0.0
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq3,,endpoint,22,8,1726.0,2411.0,3805.0,1741.0,2414.0,3398.0,3.0,-2064.0,-1672.0,0.480114,fail_lower,0.519886,-0.039773,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,22,8,1264.0,1834.0,2265.0,1307.0,1699.5,2303.0,-134.5,-958.0,-1039.0,0.482955,fail_lower,0.517045,-0.034091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,0,endpoint,22,8,884.0,1139.0,1549.0,796.0,1106.5,1659.0,-32.5,-753.0,-775.0,0.491477,fail_lower,0.508523,-0.017045,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq6__ctrl_none__dq6__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,22,8,200.0,614.5,1561.0,193.0,590.5,1118.0,-24.0,-1368.0,-918.0,0.491477,fail_lower,0.508523,-0.017045,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,3,endpoint,22,8,859.0,1408.0,1738.0,1036.0,1257.0,1792.0,-151.0,-702.0,-933.0,0.494318,fail_lower,0.505682,-0.011364,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,1,endpoint,22,8,1021.0,1485.5,1939.0,1115.0,1423.0,1838.0,-62.5,-824.0,-817.0,0.494318,fail_lower,0.505682,-0.011364,overlap,0.0
direct_max__idelay_ld__lane1__dq12__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq12,,endpoint,22,8,1205.0,1610.5,2036.0,1248.0,1564.5,2118.0,-46.0,-788.0,-913.0,0.494318,fail_lower,0.505682,-0.011364,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,22,8,1115.0,1417.5,1820.0,1070.0,1378.5,1952.0,-39.0,-750.0,-837.0,0.494318,fail_lower,0.505682,-0.011364,overlap,0.0
direct_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq10,,endpoint,22,8,2177.0,2565.0,3391.0,2144.0,2805.0,3256.0,240.0,-1247.0,-1079.0,0.497159,fail_lower,0.502841,-0.005682,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,2,endpoint,22,8,842.0,1396.5,2069.0,950.0,1325.0,1896.0,-71.5,-1119.0,-1054.0,0.497159,fail_lower,0.502841,-0.005682,overlap,0.0
