feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,1,endpoint,22,8,1031.0,1506.0,2131.0,1154.0,1369.5,1807.0,-136.5,-977.0,-776.0,0.357955,fail_lower,0.642045,-0.284091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,22,8,1062.0,1339.0,1815.0,894.0,1208.0,1590.0,-131.0,-921.0,-528.0,0.357955,fail_lower,0.642045,-0.284091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,4,endpoint,22,8,873.0,1331.5,2038.0,848.0,1455.0,1896.0,123.5,-1190.0,-1023.0,0.642045,fail_higher,0.642045,0.284091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,1,endpoint,22,8,1116.0,1569.5,2051.0,1235.0,1454.5,1791.0,-115.0,-816.0,-675.0,0.357955,fail_lower,0.642045,-0.284091,overlap,0.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq11,,endpoint,22,8,2223.0,2460.0,3805.0,2325.0,2714.0,3190.0,254.0,-1480.0,-967.0,0.636364,fail_higher,0.636364,0.272727,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,4,endpoint,22,8,1024.0,1636.0,2358.0,1184.0,1961.5,2161.0,325.5,-1174.0,-1137.0,0.633523,fail_higher,0.633523,0.267045,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,22,8,1004.0,1222.5,1789.0,1154.0,1415.5,1644.0,193.0,-635.0,-640.0,0.630682,fail_higher,0.630682,0.261364,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,22,8,1141.0,1687.0,2632.0,1133.0,1602.5,1950.0,-84.5,-1499.0,-809.0,0.369318,fail_lower,0.630682,-0.261364,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,1,endpoint,22,8,1200.0,1718.5,2726.0,1228.0,1655.0,1858.0,-63.5,-1498.0,-658.0,0.372159,fail_lower,0.627841,-0.255682,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,1,endpoint,22,8,1172.0,1706.0,2723.0,1218.0,1643.5,1940.0,-62.5,-1505.0,-768.0,0.372159,fail_lower,0.627841,-0.255682,overlap,0.0
