experiment_id,variant,seed,returncode,started_at,finished_at,bitstream_sha256,bitstream,nextpnr_json,cvc_sdf,result_json,log,pass,fail_reasons,state_calibrate,calib_complete,bist_done,correct_read_data,wrong_read_data,abort_reason
idelay-stable-before-ld-seed2,idelay-stable-before-ld,2,0,2026-05-27T22:20:09.857874+00:00,2026-05-27T22:20:45.010233+00:00,033889757999a3c31f1d7a57b40917494d5a90d66f415f1a3423a2035374d87e,/nix/store/rq75r631d3s4d0nl4xg90wjpn0k8s88w-ypcb-ddr3-bitstream-seed-2-idelay-stable-before-ld/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/5g6jm2hch5m6c1agcjcbbqgz4i2lv8ib-ypcb-ddr3-nextpnr-json-seed-2-idelay-stable-before-ld/ypcb_00338_1p1_ddr3.placed.json,/nix/store/29cczrchfv3dyw1k2nlipr728wx9d2br-ypcb-ddr3-cvc-sdf-seed-2-idelay-stable-before-ld/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/split-idelay-skew-seed2-seed3/idelay-stable-before-ld-seed2.json,artifacts/hardware/split-idelay-skew-seed2-seed3/idelay-stable-before-ld-seed2.log,True,,23,True,True,100663295,0,0
idelay-stable-before-ld-seed3,idelay-stable-before-ld,3,2,2026-05-27T22:20:45.010874+00:00,2026-05-27T22:21:26.010074+00:00,73754fe624fd824dbd1f59dcc63a2ce8d576be76f28778c55ff343d5b77b1aff,/nix/store/nwc3yi0i4k221i9vy6awl86pmlxvl1c3-ypcb-ddr3-bitstream-seed-3-idelay-stable-before-ld/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/ligcpch11l1f0rzk68rsmqmyjjds18cw-ypcb-ddr3-nextpnr-json-seed-3-idelay-stable-before-ld/ypcb_00338_1p1_ddr3.placed.json,/nix/store/h0pbqcgsv81jiwlxjlmn9aiwfgd4ypj3-ypcb-ddr3-cvc-sdf-seed-3-idelay-stable-before-ld/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/split-idelay-skew-seed2-seed3/idelay-stable-before-ld-seed3.json,artifacts/hardware/split-idelay-skew-seed2-seed3/idelay-stable-before-ld-seed3.log,False,calib_incomplete;calib_state_not_done;bist_not_done,0,False,False,0,0,2
cntvaluein3-skew-locked-seed2,cntvaluein3-skew-locked,2,0,2026-05-27T22:21:26.010429+00:00,2026-05-27T22:22:01.228322+00:00,46f9a744de4335d73389391fb0193f753fc3357f4f83d3bb987d93891fa295b0,/nix/store/6n181x85cbam1f0c72sn51b3ki0qgn74-ypcb-ddr3-bitstream-seed-2-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/77bwrmijyy3x8l5vyxc3l5aqd62nljib-ypcb-ddr3-nextpnr-json-seed-2-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/8swni5hwgvg8fzs7maxjfs5snvwaj7lp-ypcb-ddr3-cvc-sdf-seed-2-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/split-idelay-skew-seed2-seed3/cntvaluein3-skew-locked-seed2.json,artifacts/hardware/split-idelay-skew-seed2-seed3/cntvaluein3-skew-locked-seed2.log,True,,23,True,True,100663295,0,0
cntvaluein3-skew-locked-seed3,cntvaluein3-skew-locked,3,0,2026-05-27T22:22:01.228804+00:00,2026-05-27T22:22:36.488021+00:00,ab1e78b53d269f567d113675f12c9ddac0a9f854b03b7b59eed93dbf0b3b4c34,/nix/store/w1f9qbknyalfr3fwazyy39h1ri1k8n27-ypcb-ddr3-bitstream-seed-3-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/9qpkl6x4x0hvpplf0dzgf3ddch3kfn1x-ypcb-ddr3-nextpnr-json-seed-3-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/rpm83nrx1myi4z04p7dkx968pd871g6f-ypcb-ddr3-cvc-sdf-seed-3-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,artifacts/hardware/split-idelay-skew-seed2-seed3/cntvaluein3-skew-locked-seed3.json,artifacts/hardware/split-idelay-skew-seed2-seed3/cntvaluein3-skew-locked-seed3.log,True,,23,True,True,100663295,0,0
