rtl_commit,seed,build,hardware,attempts,reason,reason_name,calib_complete,bist_done,wrong_read_data,data_taps,dqs_taps,bitstream_sha256
7df2c7b,5,pass_timing,pass,63,0,none,True,True,0,26/26/26/26/26/26/26/26/27/27/27/27/27/27/27/27,3/4,d16d28565682392a87fdf9047d84a084a4e9c88279916790da08868b8edb0a7f
7df2c7b,3,pass_timing,pass,62,0,none,True,True,0,26/26/26/26/26/26/26/26/27/27/27/27/27/27/27/27,3/4,9b2b13f7ee947a1fd1ec938addbdbde765244a6d8c6d99bd865cd8f9c3a2669d
