metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,0,,,,1,588.0,588.0,588.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,0,,,,1,727.0,727.0,727.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,0,,,,1,815.0,815.0,815.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,0,,,,1,500.0,500.0,500.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,0,,,,1,811.0,811.0,811.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,0,,,,1,495.0,495.0,495.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,0,,,,1,818.0,818.0,818.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,0,,,,1,812.0,812.0,812.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,0,,,,1,388.0,388.0,388.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,0,,,,1,647.0,647.0,647.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,0,,,,1,530.0,530.0,530.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,0,,,,1,562.0,562.0,562.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,0,,,,1,571.0,571.0,571.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,0,,,,1,678.0,678.0,678.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,0,,,,1,607.0,607.0,607.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,0,,,,1,677.0,677.0,677.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,0,,,,1,698.0,698.0,698.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,0,,,,1,413.0,413.0,413.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,0,,,,1,234.0,234.0,234.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,0,,,,1,359.0,359.0,359.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,0,,,,1,232.0,232.0,232.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,0,,,,1,137.0,137.0,137.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,0,,,,1,420.0,420.0,420.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,0,,,,1,175.0,175.0,175.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,0,,,,1,222.0,222.0,222.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,0,,,,1,293.0,293.0,293.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,0,,,,1,666.0,666.0,666.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,0,,,,1,467.0,467.0,467.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,0,,,,1,0.0,0.0,0.0,0,,,,,,
direct_max,clocking,all,,,endpoint,0,,,,1,6855.0,6855.0,6855.0,0,,,,,,
direct_max,clocking,lane0,dq0,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq1,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq2,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq3,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq4,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq5,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq6,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dq7,,endpoint,0,,,,1,1314.0,1314.0,1314.0,0,,,,,,
direct_max,clocking,lane0,dqs0,,endpoint,0,,,,1,1279.0,1279.0,1279.0,0,,,,,,
