feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,6,4,805.0,1149.0,2086.0,1139.0,1407.5,1876.0,258.5,-947.0,-1071.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,1,endpoint,6,4,675.0,798.5,1950.0,860.0,1036.5,1157.0,238.0,-1090.0,-482.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,6,4,726.0,825.0,1667.0,796.0,999.5,1812.0,174.5,-871.0,-1086.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,4,endpoint,6,4,875.0,1206.5,1738.0,1133.0,1346.5,1759.0,140.0,-605.0,-884.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,6,4,265.0,370.0,465.0,224.0,507.0,617.0,137.0,-241.0,-352.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
direct_max__idelay_ld__lane1__dq13__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq13,,endpoint,6,4,1006.0,1418.0,1536.0,870.0,1531.5,1695.0,113.5,-666.0,-689.0,0.708333,fail_higher,0.708333,0.416667,overlap,0.0
direct_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq12,,endpoint,6,4,1756.0,2131.5,2769.0,1924.0,2621.5,3193.0,490.0,-845.0,-1437.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,6,4,711.0,919.5,1634.0,794.0,1184.5,1807.0,265.0,-840.0,-1096.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_ld__lane1__dq9__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq9,,endpoint,6,4,986.0,1130.0,1432.0,732.0,1382.0,1559.0,252.0,-700.0,-573.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,4,endpoint,6,4,781.0,1176.0,1993.0,927.0,1426.0,1595.0,250.0,-1066.0,-814.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,6,4,899.0,1285.0,2082.0,1141.0,1502.0,1922.0,217.0,-941.0,-1023.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_ld__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq11,,endpoint,6,4,1008.0,1290.0,1613.0,958.0,1496.5,1648.0,206.5,-655.0,-640.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_ld__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq8,,endpoint,6,4,1098.0,1352.0,1613.0,1039.0,1548.5,1669.0,196.5,-574.0,-571.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_ld__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq15,,endpoint,6,4,896.0,1171.0,1355.0,820.0,1359.0,1511.0,188.0,-535.0,-615.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,6,4,1054.0,1212.5,1391.0,827.0,1373.0,1601.0,160.5,-564.0,-547.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,6,4,925.0,1239.5,1853.0,1167.0,1389.0,1963.0,149.5,-686.0,-1038.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,2,endpoint,6,4,612.0,1054.0,1250.0,720.0,1181.0,1432.0,127.0,-530.0,-820.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,6,4,179.0,331.0,638.0,324.0,456.5,622.0,125.5,-314.0,-443.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,4,endpoint,6,4,962.0,1277.5,1774.0,1222.0,1396.5,1679.0,119.0,-552.0,-717.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,0,endpoint,6,4,795.0,995.5,1715.0,925.0,1110.5,1819.0,115.0,-790.0,-1024.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,6,4,921.0,1219.0,2005.0,1072.0,1313.5,2049.0,94.5,-933.0,-1128.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,4,endpoint,6,4,663.0,1359.5,1580.0,873.0,1279.5,1708.0,-80.0,-707.0,-1045.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,6,4,187.0,439.0,537.0,368.0,487.5,658.0,48.5,-169.0,-471.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,0,endpoint,6,4,705.0,768.0,1483.0,772.0,788.0,1585.0,20.0,-711.0,-880.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,6,4,977.0,1251.0,2005.0,1161.0,1345.5,2088.0,94.5,-844.0,-1111.0,0.645833,fail_higher,0.645833,0.291667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,6,4,869.0,1138.5,2081.0,787.0,1415.5,1682.0,277.0,-1294.0,-813.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq15,,endpoint,6,4,2207.0,2380.0,3085.0,2250.0,2625.5,3219.0,245.5,-835.0,-1012.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq9,,endpoint,6,4,1861.0,2080.5,2401.0,1758.0,2269.0,2895.0,188.5,-643.0,-1034.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,6,4,1046.0,1201.5,2308.0,1044.0,1390.0,1741.0,188.5,-1264.0,-695.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,4,endpoint,6,4,663.0,868.0,1756.0,730.0,1045.5,1741.0,177.5,-1026.0,-1078.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,6,4,893.0,1325.0,1942.0,1052.0,1494.5,1863.0,169.5,-890.0,-970.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,0,endpoint,6,4,883.0,1039.0,1774.0,1008.0,1199.5,1738.0,160.5,-766.0,-855.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,2,endpoint,6,4,444.0,959.5,1261.0,811.0,1100.5,1437.0,141.0,-450.0,-993.0,0.625,fail_higher,0.625,0.25,overlap,0.0
direct_max__idelay_ld__lane1__dq14__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq14,,endpoint,6,4,1003.0,1337.0,1605.0,1050.0,1447.5,1567.0,110.5,-555.0,-564.0,0.625,fail_higher,0.625,0.25,overlap,0.0
