feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,6,4,600.0,831.0,1899.0,597.0,987.5,1511.0,156.5,-1302.0,-911.0,0.4375,fail_lower,0.5625,-0.125,overlap,0.0
direct_max__idelay_ld__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq2,,endpoint,6,4,1126.0,1503.5,1664.0,1146.0,1269.5,1615.0,-234.0,-518.0,-489.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,0,endpoint,6,4,526.0,882.0,1345.0,532.0,659.5,1447.0,-222.5,-813.0,-921.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,1,endpoint,6,4,930.0,1315.5,2492.0,1031.0,1161.5,1838.0,-154.0,-1461.0,-908.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,6,4,1269.0,1417.5,1664.0,991.0,1269.5,1774.0,-148.0,-673.0,-505.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_ld__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq7,,endpoint,6,4,1212.0,1577.5,1919.0,1240.0,1490.5,1623.0,-87.0,-679.0,-411.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,1,endpoint,6,4,866.0,1317.0,2135.0,1167.0,1241.5,1840.0,-75.5,-968.0,-974.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,1,endpoint,6,4,643.0,961.0,2131.0,736.0,916.5,1148.0,-44.5,-1395.0,-505.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,2,endpoint,6,4,583.0,770.5,1110.0,449.0,757.0,1292.0,-13.5,-661.0,-709.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
lane_spread__idelay_ld__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_ld,lane0,,,lane,6,4,176.0,257.5,505.0,186.0,246.0,317.0,-11.5,-319.0,-141.0,0.458333,fail_lower,0.541667,-0.083333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,6,4,512.0,743.0,1810.0,512.0,915.0,1424.0,172.0,-1298.0,-912.0,0.479167,fail_lower,0.520833,-0.041667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,1,endpoint,6,4,607.0,784.5,1804.0,675.0,741.0,1149.0,-43.5,-1129.0,-542.0,0.479167,fail_lower,0.520833,-0.041667,overlap,0.0
direct_max__idelay_ld__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq4,,endpoint,6,4,1057.0,1411.0,1825.0,1233.0,1398.5,1529.0,-12.5,-592.0,-472.0,0.479167,fail_lower,0.520833,-0.041667,overlap,0.0
