comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,27,16,13.0,441.0,1214.0,7.0,238.0,1031.0,-203.0,0.310185,fail_lower,0.689815,-0.37963,overlap,0.0,3.945227
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,1,dqs_vs_dq_bit,27,16,7.0,363.0,1089.0,3.0,128.5,1138.0,-234.5,0.311343,fail_lower,0.688657,-0.377315,overlap,0.0,3.921171
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,1,dqs_vs_dq_bit,27,16,23.0,353.0,954.0,28.0,167.5,1134.0,-185.5,0.3125,fail_lower,0.6875,-0.375,overlap,0.0,3.897114
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,1,dqs_vs_dq_bit,27,16,0.0,334.0,1040.0,66.0,188.5,1123.0,-145.5,0.31713,fail_lower,0.68287,-0.365741,overlap,0.0,3.800889
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,1,dqs_vs_dq_bit,27,16,3.0,342.0,1131.0,13.0,206.0,1050.0,-136.0,0.31713,fail_lower,0.68287,-0.365741,overlap,0.0,3.800889
cntvaluein3_locked_only,direct,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,27,16,135.0,397.0,632.0,222.0,427.0,705.0,30.0,0.675926,fail_higher,0.675926,0.351852,overlap,0.0,3.656552
cntvaluein3_locked_only,skew,dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,0,dq_lane,27,16,135.0,397.0,632.0,222.0,427.0,705.0,30.0,0.675926,fail_higher,0.675926,0.351852,overlap,0.0,3.656552
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,1,dqs_vs_dq_lane,27,16,1.5,294.0,1172.5,13.0,181.0,1136.0,-113.0,0.326389,fail_lower,0.673611,-0.347222,overlap,0.0,3.608439
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,27,16,76.0,375.0,1073.0,70.0,218.5,828.0,-156.5,0.328704,fail_lower,0.671296,-0.342593,overlap,0.0,3.560327
cntvaluein3_locked_only,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,27,16,-669.0,-46.0,767.0,-986.0,-259.5,622.0,-213.5,0.331019,fail_lower,0.668981,-0.337963,overlap,0.0,3.512214
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,27,16,63.0,293.0,836.5,18.0,200.0,594.5,-93.0,0.332176,fail_lower,0.667824,-0.335648,overlap,0.0,3.488158
cntvaluein3_locked_only,direct,direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,27,16,1452.0,2107.0,2690.0,1319.0,1924.5,2246.0,-182.5,0.334491,fail_lower,0.665509,-0.331019,overlap,0.0,3.440045
cntvaluein3_locked_only,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,27,16,-834.0,-13.0,1072.0,-813.0,-151.0,383.0,-138.0,0.335648,fail_lower,0.664352,-0.328704,overlap,0.0,3.415989
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,27,16,11.0,314.0,862.0,5.0,213.5,564.0,-100.5,0.335648,fail_lower,0.664352,-0.328704,overlap,0.0,3.415989
