comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
locked_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,27,13,-754.0,257.0,1078.0,-899.0,13.0,708.0,-244.0,0.363248,fail_lower,0.636752,-0.273504,overlap,0.0,2.56205
locked_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq3__ctrl_none__dq3__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,27,13,334.0,775.0,1494.0,402.0,740.0,931.0,-35.0,0.363248,fail_lower,0.636752,-0.273504,overlap,0.0,2.56205
locked_abort2_vs_pass,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,27,13,-641.0,108.5,647.0,-816.0,-265.5,522.5,-374.0,0.364672,fail_lower,0.635328,-0.270655,overlap,0.0,2.535362
locked_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq11__ctrl_none__dq11__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,27,13,202.0,787.0,1391.0,317.0,525.0,961.0,-262.0,0.364672,fail_lower,0.635328,-0.270655,overlap,0.0,2.535362
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,27,13,535.0,1184.0,1791.0,711.0,1212.0,1797.0,28.0,0.633903,fail_higher,0.633903,0.267806,overlap,0.0,2.508674
locked_abort2_vs_pass,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,3,ld_vs_cntvaluein_dq_lane,27,13,-1097.5,-558.5,349.5,-726.5,-346.0,38.5,212.5,0.632479,fail_higher,0.632479,0.264957,overlap,0.0,2.481986
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,27,13,23.5,329.5,1134.5,17.0,198.0,1014.5,-131.5,0.367521,fail_lower,0.632479,-0.264957,overlap,0.0,2.481986
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,27,13,1358.0,2036.0,2596.0,1149.0,1965.0,2190.0,-71.0,0.367521,fail_lower,0.632479,-0.264957,overlap,0.0,2.481986
locked_abort2_vs_pass,skew,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,27,13,51.0,332.0,582.0,15.0,275.0,450.0,-57.0,0.367521,fail_lower,0.632479,-0.264957,overlap,0.0,2.481986
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,4,dqs_vs_dq_bit,27,13,33.0,316.0,956.0,115.0,263.0,449.0,-53.0,0.367521,fail_lower,0.632479,-0.264957,overlap,0.0,2.481986
locked_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,3,dqs_vs_dq_bit,27,13,-664.0,-53.0,483.0,-730.0,79.0,1078.0,132.0,0.62963,fail_higher,0.62963,0.259259,overlap,0.0,2.42861
locked_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,27,13,-669.0,-41.0,855.0,-847.0,-153.0,552.0,-112.0,0.37037,fail_lower,0.62963,-0.259259,overlap,0.0,2.42861
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,0,endpoint,27,13,537.0,1100.0,1707.0,626.0,1123.0,1702.0,23.0,0.62963,fail_higher,0.62963,0.259259,overlap,0.0,2.42861
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,2,endpoint,27,13,528.0,1060.0,1804.0,574.0,1360.0,1955.0,300.0,0.628205,fail_higher,0.628205,0.25641,overlap,0.0,2.401922
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,27,13,1271.0,1748.0,2249.0,1241.0,1695.0,1930.0,-53.0,0.371795,fail_lower,0.628205,-0.25641,overlap,0.0,2.401922
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,27,13,76.0,375.0,1073.0,70.0,241.0,828.0,-134.0,0.373219,fail_lower,0.626781,-0.253561,overlap,0.0,2.375234
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,27,13,14.0,199.0,633.0,24.0,296.0,939.0,97.0,0.626781,fail_higher,0.626781,0.253561,overlap,0.0,2.375234
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,27,13,919.0,1251.0,2128.0,1042.0,1582.0,2154.0,331.0,0.623932,fail_higher,0.623932,0.247863,overlap,0.0,2.321858
