comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_abort2_vs_pass,direct,lane_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane1,,,lane,36,19,591.0,902.0,1332.0,435.0,765.0,1042.0,-137.0,0.334795,fail_lower,0.665205,-0.330409,overlap,0.0,4.320663
baseline_abort2_vs_pass,direct,lane_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane0,,,lane,36,19,585.0,1001.5,1739.0,457.0,901.0,1325.0,-100.5,0.334795,fail_lower,0.665205,-0.330409,overlap,0.0,4.320663
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,36,19,922.0,1403.5,1996.0,866.0,1277.0,2042.0,-126.5,0.336257,fail_lower,0.663743,-0.327485,overlap,0.0,4.282427
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,36,19,1179.0,1870.5,2415.0,1243.0,1559.0,2220.0,-311.5,0.337719,fail_lower,0.662281,-0.324561,overlap,0.0,4.244191
baseline_abort2_vs_pass,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,36,19,-583.0,-277.0,27.0,-556.0,-199.0,103.0,78.0,0.659357,fail_higher,0.659357,0.318713,overlap,0.0,4.167719
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,36,19,1264.0,1901.5,2323.0,1284.0,1651.0,2303.0,-250.5,0.341374,fail_lower,0.658626,-0.317251,overlap,0.0,4.148601
baseline_abort2_vs_pass,skew,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,36,19,0.0,277.0,583.0,0.0,199.0,556.0,-78.0,0.343567,fail_lower,0.656433,-0.312865,overlap,0.0,4.091247
baseline_abort2_vs_pass,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,36,19,1.5,169.25,571.5,71.5,277.0,631.5,107.75,0.65424,fail_higher,0.65424,0.30848,overlap,0.0,4.033893
baseline_abort2_vs_pass,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,36,19,2.5,199.75,513.0,17.5,314.0,701.5,114.25,0.653509,fail_higher,0.653509,0.307018,overlap,0.0,4.014775
baseline_abort2_vs_pass,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,36,19,142.0,378.0,863.0,153.0,296.0,768.0,-82.0,0.350146,fail_lower,0.649854,-0.299708,overlap,0.0,3.919185
