comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_seed_1_30,skew,dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,22,8,192.0,400.0,693.0,358.0,486.0,709.0,86.0,0.732955,fail_higher,0.732955,0.465909,overlap,0.0,3.090491
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,22,8,95.0,562.5,958.0,28.0,165.0,837.0,-397.5,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0,3.015113
baseline_seed_1_30,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,22,8,-532.5,-34.25,323.5,-137.5,133.0,363.5,167.25,0.727273,fail_higher,0.727273,0.454545,overlap,0.0,3.015113
baseline_seed_1_30,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,4,ld_vs_cntvaluein_dqs,22,8,41.0,296.0,893.0,25.0,152.5,545.0,-143.5,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0,3.015113
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,1,dqs_vs_dq_bit,22,8,18.0,238.0,998.0,43.0,137.0,469.0,-101.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0,3.015113
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,22,8,7.0,333.0,646.0,28.0,131.5,449.0,-201.5,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0,2.939736
baseline_seed_1_30,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,22,8,130.0,475.0,858.0,166.0,359.0,643.0,-116.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0,2.939736
baseline_seed_1_30,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,22,8,142.0,378.0,863.0,180.0,281.5,395.0,-96.5,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0,2.939736
baseline_seed_1_30,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,22,8,142.0,378.0,863.0,180.0,281.5,395.0,-96.5,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0,2.939736
baseline_seed_1_30,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,22,8,52.0,340.5,1163.5,37.5,124.0,533.0,-216.5,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
