comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,63,40,0.0,308.0,873.0,0.0,181.5,686.0,-126.5,0.372619,fail_lower,0.627381,-0.254762,overlap,0.0,6.394473
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,63,40,18.0,217.0,1215.0,10.0,151.0,1240.0,-66.0,0.372817,fail_lower,0.627183,-0.254365,overlap,0.0,6.384513
all_usable,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,65,41,216.0,670.0,1513.0,165.0,598.0,1198.0,-72.0,0.377298,fail_lower,0.622702,-0.245403,overlap,0.0,6.334308
all_usable,skew,dq_bus_skew_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane1,,,dq_lane_bus_skew,63,40,167.0,422.0,761.0,167.0,357.5,684.0,-64.5,0.374008,fail_lower,0.625992,-0.251984,overlap,0.0,6.324751
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,63,40,5.0,220.0,1002.0,5.0,272.0,939.0,52.0,0.625397,fail_higher,0.625397,0.250794,overlap,0.0,6.294871
all_usable,direct,lane_spread__idelay_ld__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_ld,lane1,,,lane,65,41,146.0,331.0,706.0,240.0,364.0,732.0,33.0,0.620826,fail_higher,0.620826,0.241651,overlap,0.0,6.237453
all_usable,direct,lane_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane0,,,lane,65,41,585.0,1072.0,1853.0,457.0,981.0,1563.0,-91.0,0.38349,fail_lower,0.61651,-0.233021,overlap,0.0,6.014687
all_usable,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,65,41,130.0,545.0,1385.0,166.0,500.0,1281.0,-45.0,0.385178,fail_lower,0.614822,-0.229644,overlap,0.0,5.927517
all_usable,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,63,40,-692.0,13.0,1075.0,-850.0,-74.5,837.0,-87.5,0.382341,fail_lower,0.617659,-0.235317,overlap,0.0,5.906421
all_usable,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,63,40,-728.5,0.5,1021.5,-834.5,-134.5,894.5,-135.0,0.384127,fail_lower,0.615873,-0.231746,overlap,0.0,5.816779
all_usable,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,65,41,272.0,651.0,1452.0,227.0,548.0,1377.0,-103.0,0.388555,fail_lower,0.611445,-0.222889,overlap,0.0,5.753178
all_usable,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,63,40,-710.0,-303.5,142.5,-453.5,-272.0,297.5,31.5,0.614484,fail_higher,0.614484,0.228968,overlap,0.0,5.747058
all_usable,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,63,40,-727.0,-71.0,1027.0,-820.0,-193.0,911.0,-122.0,0.385913,fail_lower,0.614087,-0.228175,overlap,0.0,5.727137
all_usable,skew,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,63,40,146.0,327.0,706.0,107.0,363.0,732.0,36.0,0.60873,fail_higher,0.60873,0.21746,overlap,0.0,5.458211
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,63,40,18.0,301.0,804.0,2.0,186.0,582.0,-115.0,0.391468,fail_lower,0.608532,-0.217063,overlap,0.0,5.44825
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,1,dqs_vs_dq_bit,63,40,7.0,242.0,1348.0,5.0,153.0,1216.0,-89.0,0.39246,fail_lower,0.60754,-0.215079,overlap,0.0,5.398449
