family,lane,good_count,good_max_ps,good_spread_ps,bad_count,bad_max_ps,bad_spread_ps,delta_median_ps,delta_p95_ps,delta_max_ps
calibration_fsm,all,208,7065.0,7065.0,208,6554.0,6554.0,0.0,902.0,5658.0
clocking,all,2078,5985.0,5866.0,2078,5159.0,5040.0,0.0,0.0,4.0
dq_input,all,60,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
dq_output,all,200,1055.0,1055.0,200,1055.0,1055.0,0.0,0.0,0.0
dqs_input,all,134,5340.0,5340.0,134,5610.0,5610.0,0.0,1289.0,2914.0
dqs_output,all,90,2696.0,2696.0,90,3378.0,3378.0,0.0,682.0,1289.0
idelay_control,all,3290,5340.0,5340.0,3288,5610.0,5610.0,0.0,875.0,2914.0
idelayctrl,all,5,2759.0,1633.0,5,3371.0,2245.0,786.0,1572.0,1572.0
idelayctrl_reset_release,all,12,2490.0,2490.0,12,2009.0,2009.0,-481.0,159.0,159.0
iologic_physical,all,346,7184.0,7184.0,346,6434.0,6434.0,0.0,0.0,1079.0
other,all,50761,7065.0,7065.0,50511,6735.0,6735.0,0.0,1126.0,5981.0
reset_cdc,all,107,5985.0,5985.0,107,5159.0,5159.0,-87.5,159.0,159.0
