experiment_id,metrics_group,metric_sample,metric_status,hardware_pass,seed,run_group,variant,payload_version,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,bitstream_sha256,sdf_sha256,nextpnr_json_sha256,result_json,nextpnr_json,cvc_sdf,interpretation,feature,value_ps,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps
baseline-no-lock-seed-22,baseline-no-lock-seed-1-30,baseline-no-lock-seed-22,pass,True,22,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,b03d4913dac941e4ef31d2336488e7bad905f9dab272ef2a3476af616a231add,18975ed049c10a93624e3a2bfdb7f07c078eb16b37e99a07e9a251d4399927de,c73bd372ff88e3edaefd6e93b6cf16a0f7048ed74fbd761fca9b677c8f85be77,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-22.json,/nix/store/v4pbkwfmjp0hq1600k3rbrjf6w073i7i-ypcb-ddr3-nextpnr-json-seed-22/ypcb_00338_1p1_ddr3.placed.json,/nix/store/139i5v6kn2w9b8rfhvv1rwdyp7p9d377-ypcb-ddr3-cvc-sdf-seed-22/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1185.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1363.0,1759.0,2548.0,2548.0,1185.0
baseline-no-lock-seed-24,baseline-no-lock-seed-1-30,baseline-no-lock-seed-24,pass,True,24,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,60201c8868148b94e8b20ff2e7d095ba2ddf4b7db7838f6da9c62fcbda7a4842,779e714ee93d8a17c0030dab54ffc4d9948ef0a45206fb803fdfeca1578183c6,19fb2c52e350c06203483fcefe585060c1c5cde057dff63dd3721cc286dc58e8,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-24.json,/nix/store/rk5ya4la4yc0231l15jgvzp95nhj9pd4-ypcb-ddr3-nextpnr-json-seed-24/ypcb_00338_1p1_ddr3.placed.json,/nix/store/h3nm4cvnibjskwfm3ndj9119fdgbsf9z-ypcb-ddr3-cvc-sdf-seed-24/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,454.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1210.0,1389.0,1664.0,1664.0,454.0
baseline-no-lock-seed-25,baseline-no-lock-seed-1-30,baseline-no-lock-seed-25,pass,True,25,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,2abf8e5d629bfaadb4cfd27c1fdd14ccf6de651772b0df2a5bbc53bbb5fa7f21,350e9f20492bcca187cbffb361374c044665cce358381168b8aa9cd1522aaae2,2c34867b0e3f1e1d77553755637ee2b02223c71ecb2bf7501bbee39d61b58ceb,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-25.json,/nix/store/npvlk5g083ncx7v3c9i6c1izbjhfnr7p-ypcb-ddr3-nextpnr-json-seed-25/ypcb_00338_1p1_ddr3.placed.json,/nix/store/fwzl2srsag12qr6h0axl0vh80sr6m63m-ypcb-ddr3-cvc-sdf-seed-25/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,962.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,985.0,1639.0,1947.0,1947.0,962.0
baseline-no-lock-seed-26,baseline-no-lock-seed-1-30,baseline-no-lock-seed-26,pass,True,26,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,c93a58b14c441542757e14bb12cb3e817a65bedc66b80334fc89114fb181e20b,b4c7acb199c88c25efb075fbbe4bfe8418606de4727c930806545e07207beb21,d79a1196da8ff61ab2915640c488180aa39c1d6f9e60f0c636b72c755d76db28,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-26.json,/nix/store/6qy9wxpv9yrmdrb1z66xkpjmialaf37l-ypcb-ddr3-nextpnr-json-seed-26/ypcb_00338_1p1_ddr3.placed.json,/nix/store/zy1ypv6xrch2gxsjv69hph9xy22jksk9-ypcb-ddr3-cvc-sdf-seed-26/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,439.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1498.0,1641.0,1937.0,1937.0,439.0
baseline-no-lock-seed-28,baseline-no-lock-seed-1-30,baseline-no-lock-seed-28,pass,True,28,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,077cfc33c805abd736e3eb3a9f73a5c03bfc5232ac4ba4e513c7ee4f8883c000,706cdd417d16469ef88d22738c485e93ea7dd60009813b3d032b73351376ce99,ac75cd5f40079f82aa9d0f9fedf3784f7f44e239b1fc96f0e369fe52fba873ae,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-28.json,/nix/store/y9l2l15rp9angzmm33l1ns878xdyan2w-ypcb-ddr3-nextpnr-json-seed-28/ypcb_00338_1p1_ddr3.placed.json,/nix/store/49lbl68shk0gb11npjnlinxs50cihmd1-ypcb-ddr3-cvc-sdf-seed-28/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,921.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1134.0,1804.0,2055.0,2055.0,921.0
baseline-no-lock-seed-29,baseline-no-lock-seed-1-30,baseline-no-lock-seed-29,pass,True,29,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,21,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,3e701f81100a08ba0c5e7f3810867f992c2eba265bd0e4650a8f4bfa67b1496e,377033fd552b1b772715c8337d242b3b9b49f9dafa28cab167050ce039d33711,5d5e581c7948082605614d22a8fb87cb9b54b830aeeadced5b5aaab2a18fe4b6,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-29.json,/nix/store/xiy685c6rkxw34q8k0qvq4j5px701yms-ypcb-ddr3-nextpnr-json-seed-29/ypcb_00338_1p1_ddr3.placed.json,/nix/store/4bmgbm0b5ksq6hbnmqhlkyhih05afb6k-ypcb-ddr3-cvc-sdf-seed-29/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,886.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1200.0,1526.0,2086.0,2086.0,886.0
baseline-no-lock-seed-3,baseline-no-lock-seed-1-30,baseline-no-lock-seed-3,pass,True,3,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,37941b5110c32fd142923804c79231341566159845140393e4c45fa469c99a76,f8068e2fdef337b1cd074844bafdcb49ab8111feaf5f4679b30edd6b401cb08f,b9a4b6714cc4d29177ad690c2442814c11facb30573f7eb638f00505a9aac87b,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-3.json,/nix/store/4pnw97bn26lsknlkv3926b6s5dam03xm-ypcb-ddr3-nextpnr-json-seed-3/ypcb_00338_1p1_ddr3.placed.json,/nix/store/zyrzwsrx248z1arjnkd3lizj66m8nn9i-ypcb-ddr3-cvc-sdf-seed-3/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,563.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1654.0,2066.0,2217.0,2217.0,563.0
baseline-no-lock-seed-30,baseline-no-lock-seed-1-30,baseline-no-lock-seed-30,pass,True,30,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,8657c8532a87dd30190b7860e30831b26dfad798030337ad314a1d4ce091a859,074413ac44505422ab86b9491fa9b58f7195cd77bf96323c319ab27ac1eee981,cebe94b7e34f683897c84c1e68b63c8b5ffb414eae51feb9cbd8aebfc023316e,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-30.json,/nix/store/95sr9d11rflm9pzx6xgsb65a0b66zlg5-ypcb-ddr3-nextpnr-json-seed-30/ypcb_00338_1p1_ddr3.placed.json,/nix/store/ky5m8jgf8d4860h28aj61rgzsg4pjhm9-ypcb-ddr3-cvc-sdf-seed-30/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,622.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1351.0,1917.0,1973.0,1973.0,622.0
baseline-no-lock-seed-4,baseline-no-lock-seed-1-30,baseline-no-lock-seed-4,pass,True,4,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,9b9bf3e3c216ce40258f75e470ad48b94a711fd256c3851ab0f205a7ede6017f,5e6e763d3a85aa63d6196438a1526341584d4f5c72e3a1c6f698437dddc8cc9d,c1c1a05368d4caef460f3f950d9dcc7c4098c11b5c5a976e5245e3932fb4f8ff,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-4.json,/nix/store/14x05r7f7qjw9ag6s26fd580gmaxz6yd-ypcb-ddr3-nextpnr-json-seed-4/ypcb_00338_1p1_ddr3.placed.json,/nix/store/86gcag1fsaib67npy9brsfjrwnlm84gh-ypcb-ddr3-cvc-sdf-seed-4/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,892.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1167.0,1593.0,2059.0,2059.0,892.0
baseline-no-lock-seed-5,baseline-no-lock-seed-1-30,baseline-no-lock-seed-5,pass,True,5,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,305999d6de19c6f5cf8bc77740479ec966eb25390b79b63b0997503471cc9df8,9193ddaae557f9dc183c3858a90aa1b9e861b2a088d52eb7301bfdf1b339d766,f0f31e4a431d704b241b56614c8bb3d5411f793ab301daeb3b38d9b152b7fb57,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-5.json,/nix/store/s1zla5q19jk42kldi6q3m5whbgnhdy4p-ypcb-ddr3-nextpnr-json-seed-5/ypcb_00338_1p1_ddr3.placed.json,/nix/store/43x6xad6wl41cf947x631mziwq3a5v7i-ypcb-ddr3-cvc-sdf-seed-5/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,423.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1493.0,1710.0,1916.0,1916.0,423.0
