metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,no_tmdriv_count,no_tmdriv_min_ps,no_tmdriv_median_ps,no_tmdriv_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,reset_locks_only_count,reset_locks_only_min_ps,reset_locks_only_median_ps,reset_locks_only_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,dq_iologic,lane1,dq12,,endpoint,2,2279.0,2759.5,3240.0,2,1850.0,2351.0,2852.0,3,1835.0,1988.0,2657.0,2,3338.0,3344.5,3351.0,2,1863.0,2336.0,2809.0,771.5,-378.0,-423.5
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,2,1952.0,2092.5,2233.0,2,1684.0,2067.0,2450.0,3,1333.0,1350.0,1623.0,2,1901.0,2032.5,2164.0,2,1328.0,1343.0,1358.0,742.5,329.0,-749.5
direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,2,1850.0,1995.5,2141.0,2,1175.0,1224.5,1274.0,3,1248.0,1310.0,1669.0,2,1259.0,1547.0,1835.0,2,1527.0,1602.0,1677.0,685.5,181.0,-393.5
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,2,2000.0,2141.0,2282.0,2,1195.0,1291.5,1388.0,3,1330.0,1473.0,1669.0,2,1126.0,1419.0,1712.0,2,1149.0,1443.5,1738.0,668.0,331.0,-697.5
direct_max,idelay_data_cntvaluein,lane1,dq10,2,endpoint,2,1822.0,1988.0,2154.0,2,1141.0,1257.0,1373.0,3,1203.0,1396.0,1648.0,2,1133.0,1371.5,1610.0,2,1149.0,1425.5,1702.0,592.0,174.0,-562.5
direct_max,dq_iologic,lane1,dq15,,endpoint,2,2250.0,2833.5,3417.0,2,2325.0,2618.0,2911.0,3,2178.0,2272.0,2878.0,2,3493.0,3514.5,3536.0,2,2160.0,2499.5,2839.0,561.5,-628.0,-334.0
direct_max,idelay_data_cntvaluein,lane1,dq12,2,endpoint,2,1906.0,2002.5,2099.0,2,1148.0,1268.0,1388.0,3,1149.0,1488.0,1648.0,2,1121.0,1394.0,1667.0,2,1202.0,1452.0,1702.0,514.5,258.0,-550.5
direct_max,idelay_data_cntvaluein,lane0,dq4,3,endpoint,2,2176.0,2318.0,2460.0,2,1072.0,1314.5,1557.0,3,1626.0,1820.0,1824.0,2,1472.0,1791.5,2111.0,2,1455.0,1638.5,1822.0,498.0,352.0,-679.5
direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,2,2174.0,2313.5,2453.0,2,987.0,1229.5,1472.0,3,1669.0,1822.0,1824.0,2,1470.0,1708.5,1947.0,2,1371.0,1595.5,1820.0,491.5,350.0,-718.0
direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,2,2000.0,2072.5,2145.0,2,1396.0,1406.0,1416.0,3,1282.0,1582.0,2006.0,2,1289.0,1589.0,1889.0,2,1445.0,1642.5,1840.0,490.5,-6.0,-430.0
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,2,1759.0,1905.5,2052.0,2,1085.0,1185.5,1286.0,3,1394.0,1424.0,1585.0,2,1210.0,1545.5,1881.0,2,1442.0,1517.0,1592.0,481.5,174.0,-388.5
direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,2,1853.0,1999.0,2145.0,2,1266.0,1316.0,1366.0,3,1439.0,1518.0,1677.0,2,1258.0,1454.5,1651.0,2,1702.0,1735.0,1768.0,481.0,176.0,-264.0
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,2,1789.0,1943.5,2098.0,2,1210.0,1302.0,1394.0,3,1442.0,1467.0,1888.0,2,1281.0,1678.0,2075.0,2,1511.0,1643.5,1776.0,476.5,-99.0,-300.0
direct_max,idelay_data_cntvaluein,lane1,dq14,2,endpoint,2,1917.0,2053.5,2190.0,2,1231.0,1352.0,1473.0,3,1240.0,1578.0,1597.0,2,1118.0,1387.0,1656.0,2,1203.0,1425.5,1648.0,475.5,320.0,-628.0
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,2,2141.0,2234.5,2328.0,2,1475.0,1490.5,1506.0,3,1453.0,1764.0,1975.0,2,1472.0,1674.0,1876.0,2,1450.0,1777.5,2105.0,470.5,166.0,-457.0
direct_max,dq_iologic,lane1,dq8,,endpoint,2,2332.0,2708.5,3085.0,2,1965.0,2439.0,2913.0,3,2186.0,2240.0,3213.0,2,3440.0,3473.5,3507.0,2,2299.0,2678.5,3058.0,468.5,-881.0,-30.0
direct_max,idelay_data_cntvaluein,lane0,dq3,3,endpoint,2,1707.0,1861.5,2016.0,2,1125.0,1269.5,1414.0,3,1386.0,1393.0,1797.0,2,1363.0,1717.5,2072.0,2,1457.0,1573.5,1690.0,468.5,-90.0,-288.0
direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,2,2082.0,2225.0,2368.0,2,1080.0,1316.0,1552.0,3,1730.0,1758.0,1835.0,2,1378.0,1706.5,2035.0,2,1286.0,1508.0,1730.0,467.0,247.0,-717.0
direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,2,2207.0,2314.0,2421.0,2,1371.0,1422.0,1473.0,3,1547.0,1858.0,2094.0,2,1565.0,1703.5,1842.0,2,1286.0,1741.5,2197.0,456.0,113.0,-572.5
direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,2,2006.0,2121.0,2236.0,2,1391.0,1406.5,1422.0,3,1363.0,1674.0,1919.0,2,1381.0,1663.0,1945.0,2,1358.0,1685.5,2013.0,447.0,87.0,-435.5
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,2,2088.0,2208.5,2329.0,2,1389.0,1489.5,1590.0,3,1207.0,1766.0,1827.0,2,1473.0,1631.0,1789.0,2,1284.0,1695.5,2107.0,442.5,261.0,-513.0
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,2,1935.0,2069.0,2203.0,2,1449.0,1572.0,1695.0,3,1347.0,1628.0,1687.0,2,1273.0,1554.0,1835.0,2,1328.0,1603.0,1878.0,441.0,248.0,-466.0
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,2,1587.0,1812.5,2038.0,2,1529.0,1571.0,1613.0,3,1274.0,1376.0,1447.0,2,1496.0,1659.0,1822.0,2,1572.0,1756.0,1940.0,436.5,140.0,-56.5
direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,2,1580.0,1775.0,1970.0,2,1139.0,1235.5,1332.0,3,1338.0,1340.0,1500.0,2,1213.0,1585.5,1958.0,2,1506.0,1515.0,1524.0,435.0,80.0,-260.0
lane_spread,dq_iologic,lane1,,,lane,2,2332.0,2874.5,3417.0,2,2592.0,2752.5,2913.0,3,2272.0,2443.0,3213.0,2,3536.0,3596.5,3657.0,2,2367.0,2712.5,3058.0,431.5,-881.0,-162.0
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,2,1309.0,1517.5,1726.0,2,1299.0,1323.5,1348.0,3,1008.0,1103.0,1169.0,2,1460.0,1467.5,1475.0,2,1254.0,1478.0,1702.0,414.5,140.0,-39.5
direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,2,2121.0,2272.0,2423.0,2,1376.0,1466.5,1557.0,3,1157.0,1860.0,2006.0,2,1328.0,1579.0,1830.0,2,1378.0,1608.0,1838.0,412.0,115.0,-664.0
direct_max,idelay_data_cntvaluein,lane0,dq3,2,endpoint,2,1855.0,1983.5,2112.0,2,1358.0,1484.5,1611.0,3,1427.0,1572.0,1769.0,2,1258.0,1500.5,1743.0,2,1238.0,1512.0,1786.0,411.5,86.0,-471.5
direct_max,idelay_data_cntvaluein,lane1,dq13,2,endpoint,2,1508.0,1690.5,1873.0,2,1103.0,1331.0,1559.0,3,1246.0,1279.0,1588.0,2,1082.0,1351.0,1620.0,2,1243.0,1373.0,1503.0,411.5,-80.0,-317.5
direct_max,idelay_ld,lane0,dq2,,endpoint,2,2155.0,2262.0,2369.0,2,1585.0,1702.0,1819.0,3,1695.0,1855.0,2247.0,2,2023.0,2355.5,2688.0,2,1159.0,1253.5,1348.0,407.0,-92.0,-1008.5
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,2,732.0,762.5,793.0,2,489.0,821.5,1154.0,3,245.0,403.0,620.0,2,668.0,747.0,826.0,2,359.0,470.5,582.0,359.5,112.0,-292.0
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,2,732.0,762.5,793.0,2,489.0,821.5,1154.0,3,245.0,403.0,620.0,2,668.0,747.0,826.0,2,359.0,470.5,582.0,359.5,112.0,-292.0
direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,2,1241.0,1549.5,1858.0,2,1202.0,1229.0,1256.0,3,1157.0,1192.0,1351.0,2,1162.0,1517.5,1873.0,2,1133.0,1249.5,1366.0,357.5,-110.0,-300.0
direct_max,idelay_data_cntvaluein,lane1,dq11,3,endpoint,2,1452.0,1685.5,1919.0,2,1120.0,1244.0,1368.0,3,1256.0,1332.0,1588.0,2,1259.0,1500.0,1741.0,2,1363.0,1492.0,1621.0,353.5,-136.0,-193.5
direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,2,1590.0,1685.5,1781.0,2,1129.0,1302.0,1475.0,3,1276.0,1333.0,1504.0,2,1080.0,1322.0,1564.0,2,1164.0,1377.0,1590.0,352.5,86.0,-308.5
