feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dqs,6,5,-450.0,-292.5,-205.0,-342.0,-281.0,107.0,11.5,-137.0,-557.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,6,5,-535.0,95.0,620.0,-33.0,247.0,536.0,152.0,-653.0,-1071.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,6,5,24.5,176.0,318.0,66.0,283.5,313.5,107.5,-252.0,-289.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,1,dq_lane,6,5,179.0,331.0,638.0,312.0,409.0,622.0,78.0,-326.0,-443.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,1,ld_vs_cntvaluein_dq_lane,6,5,-336.0,411.0,494.5,251.5,483.5,720.5,72.5,-243.0,-1056.5,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,4,ld_vs_cntvaluein_dqs,6,5,-532.0,-20.0,227.0,-303.0,50.0,299.0,70.0,-530.0,-831.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,6,5,-535.0,107.5,564.0,-72.0,229.0,447.0,121.5,-636.0,-982.0,0.6,fail_higher,0.6,0.2,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,6,5,265.0,370.0,465.0,224.0,459.0,617.0,89.0,-241.0,-352.0,0.6,fail_higher,0.6,0.2,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,1,ld_vs_cntvaluein_dq_lane,6,5,335.5,411.0,494.5,251.5,483.5,720.5,72.5,-243.0,-385.0,0.6,fail_higher,0.6,0.2,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,6,5,177.0,300.5,658.0,196.0,356.0,679.0,55.5,-462.0,-502.0,0.6,fail_higher,0.6,0.2,overlap,0.0
