feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,22,7,42.0,355.0,1305.0,28.0,160.0,484.0,-195.0,-1277.0,-442.0,0.298701,fail_lower,0.701299,-0.402597,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,22,7,10.0,326.0,1118.0,3.0,70.0,587.0,-256.0,-1115.0,-577.0,0.301948,fail_lower,0.698052,-0.396104,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,22,7,95.0,562.5,958.0,28.0,223.0,837.0,-339.5,-930.0,-742.0,0.311688,fail_lower,0.688312,-0.376623,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,ld_vs_cntvaluein_dqs,22,7,-588.0,-34.5,1378.0,-678.0,-404.0,542.0,-369.5,-2056.0,-1130.0,0.318182,fail_lower,0.681818,-0.363636,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,7,61.0,256.5,960.0,33.0,125.0,871.0,-131.5,-927.0,-810.0,0.318182,fail_lower,0.681818,-0.363636,overlap,0.0
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane0,dqs0,,dqs_vs_dq_lane,22,7,-308.5,-14.5,236.5,-220.5,-106.0,106.5,-91.5,-457.0,-415.0,0.321429,fail_lower,0.678571,-0.357143,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,22,7,2.0,494.5,863.0,11.0,296.0,744.0,-198.5,-852.0,-742.0,0.331169,fail_lower,0.668831,-0.337662,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,4,dqs_vs_dq_bit,22,7,10.0,277.5,803.0,18.0,165.0,422.0,-112.5,-785.0,-412.0,0.337662,fail_lower,0.662338,-0.324675,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,4,dqs_vs_dq_bit,22,7,3.0,424.0,864.0,20.0,189.0,864.0,-235.0,-844.0,-861.0,0.340909,fail_lower,0.659091,-0.318182,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,22,7,9.5,459.0,812.0,11.5,244.5,796.0,-214.5,-800.5,-786.5,0.344156,fail_lower,0.655844,-0.311688,overlap,0.0
