rtl_commit,seed,build,hardware,reason,reason_name,lane,start_index_check,data_start_index,dq_target_index,read_lane_data_shifted_hex,read_lane_data_window_hex,data_taps,dqs_taps,bitstream_sha256
3ea4648,5,pass_timing,fail,6,analyze_data_invalid_window_exhausted,0,0,0,36,0xffffffff,0x51ffffffffffffff,23/23/23/23/23/23/23/23/24/24/24/24/24/24/24/24,0/1,fa333df904d87b7f4006c0422561f54593b547fe1419fbb1f4983fce42771879
3ea4648,3,pass_timing,pass,0,none,0,0,0,0,0x00000000,0x0000000000000000,25/25/25/25/25/25/25/25/26/26/26/26/26/26/26/26,2/3,eee622de089eb7a31ad3205e8ac2c547f49a4524b73f19fcbe2e1106bb3027cd
