experiment_id,seed,variant,hardware_pass,abort_reason,abort_reason_name,abort_lane,dq14_delay_ps,dqs1_delay_ps,signed_dqs1_minus_dq14_ps,abs_dqs1_minus_dq14_ps,dq14_from_pin,dq14_to_pin,dqs1_from_pin,dqs1_to_pin,dq14_from_cell,dq14_to_cell,dqs1_from_cell,dqs1_to_cell,dq14_from_bel,dq14_to_bel,dqs1_from_bel,dqs1_to_bel,dq14_from_site,dq14_to_site,dqs1_from_site,dqs1_to_site,source_dqs1_minus_dq14_same_site_type,source_dqs1_minus_dq14_dx,source_dqs1_minus_dq14_dy,source_dqs1_minus_dq14_manhattan,sink_dqs1_minus_dq14_same_site_type,sink_dqs1_minus_dq14_dx,sink_dqs1_minus_dq14_dy,sink_dqs1_minus_dq14_manhattan
baseline-no-lock-seed-11,11,baseline-no-lock,False,2,check_starting_data_search_exhausted,0,1070.0,1371.0,301.0,301.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X2Y58/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y62/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X2Y58,IDELAY_X0Y27,SLICE_X7Y62,IDELAY_X0Y32,True,5,4,9,True,0,5,5
baseline-no-lock-seed-12,12,baseline-no-lock,False,2,check_starting_data_search_exhausted,0,1348.0,1465.0,117.0,117.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X0Y63/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X6Y72/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X0Y63,IDELAY_X0Y27,SLICE_X6Y72,IDELAY_X0Y32,True,6,9,15,True,0,5,5
baseline-no-lock-seed-13,13,baseline-no-lock,True,0,none,0,1789.0,1625.0,-164.0,164.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y64/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X5Y74/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y64,IDELAY_X0Y27,SLICE_X5Y74,IDELAY_X0Y32,True,0,10,10,True,0,5,5
baseline-no-lock-seed-14,14,baseline-no-lock,True,0,none,0,1532.0,1730.0,198.0,198.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X3Y63/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X3Y69/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X3Y63,IDELAY_X0Y27,SLICE_X3Y69,IDELAY_X0Y32,True,0,6,6,True,0,5,5
baseline-no-lock-seed-15,15,baseline-no-lock,True,0,none,0,1263.0,1246.0,-17.0,17.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y58/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y56/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y58,IDELAY_X0Y27,SLICE_X7Y56,IDELAY_X0Y32,True,6,-2,8,True,0,5,5
baseline-no-lock-seed-16,16,baseline-no-lock,False,0,none,0,1552.0,1072.0,-480.0,480.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X3Y62/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X6Y62/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X3Y62,IDELAY_X0Y27,SLICE_X6Y62,IDELAY_X0Y32,True,3,0,3,True,0,5,5
baseline-no-lock-seed-17,17,baseline-no-lock,True,0,none,0,1940.0,1131.0,-809.0,809.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X3Y63/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X6Y75/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X3Y63,IDELAY_X0Y27,SLICE_X6Y75,IDELAY_X0Y32,True,3,12,15,True,0,5,5
baseline-no-lock-seed-18,18,baseline-no-lock,True,0,none,0,1330.0,1353.0,23.0,23.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X0Y61/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y64/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X0Y61,IDELAY_X0Y27,SLICE_X1Y64,IDELAY_X0Y32,True,1,3,4,True,0,5,5
baseline-no-lock-seed-19,19,baseline-no-lock,True,0,none,0,879.0,1230.0,351.0,351.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X3Y57/C6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X3Y57/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X3Y57,IDELAY_X0Y27,SLICE_X3Y57,IDELAY_X0Y32,True,0,0,0,True,0,5,5
baseline-no-lock-seed-20,20,baseline-no-lock,False,2,check_starting_data_search_exhausted,0,1700.0,1279.0,-421.0,421.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y70/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y86/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y70,IDELAY_X0Y27,SLICE_X7Y86,IDELAY_X0Y32,True,6,16,22,True,0,5,5
baseline-no-lock-seed-21,21,baseline-no-lock,True,0,none,0,950.0,961.0,11.0,11.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y49/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X9Y41/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y49,IDELAY_X0Y27,SLICE_X9Y41,IDELAY_X0Y32,True,4,-8,12,True,0,5,5
baseline-no-lock-seed-22,22,baseline-no-lock,True,0,none,0,1529.0,1595.0,66.0,66.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y68/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y72/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y68,IDELAY_X0Y27,SLICE_X7Y72,IDELAY_X0Y32,True,2,4,6,True,0,5,5
