lane_mismatch_ps,dqs_dq_ps,ld_point_size,pass_lane_mismatch_ps,pass_dqs_dq_ps,pass_ld_size,fail_lane_mismatch_ps,fail_dqs_dq_ps,fail_ld_size,ld_cntvaluein_ps,seed,variant,abort_reason,experiment_id
-301.5,178.0,1.324166,,,,-301.5,178.0,1.324166,277.0,34,baseline-no-lock,2,baseline-no-lock-seed-34
-509.0,459.0,1.56545,-509.0,459.0,1.56545,,,,383.5,34,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-34
-274.5,219.0,0.951479,-274.5,219.0,0.951479,,,,112.5,35,baseline-no-lock,0,baseline-no-lock-seed-35
-340.5,136.0,2.5,-340.5,136.0,2.5,,,,796.0,35,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-35
-124.0,243.0,1.487288,-124.0,243.0,1.487288,,,,349.0,36,baseline-no-lock,0,baseline-no-lock-seed-36
297.5,35.0,1.074953,,,,297.5,35.0,1.074953,167.0,36,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-36
-329.5,518.0,0.99679,,,,-329.5,518.0,0.99679,132.5,37,baseline-no-lock,2,baseline-no-lock-seed-37
-207.5,30.0,0.727187,-207.5,30.0,0.727187,,,,13.5,37,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-37
-182.5,123.0,1.255066,,,,-182.5,123.0,1.255066,246.5,38,baseline-no-lock,2,baseline-no-lock-seed-38
-357.5,212.0,1.116866,-357.5,212.0,1.116866,,,,185.5,38,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-38
-690.0,516.0,1.129327,-690.0,516.0,1.129327,,,,191.0,39,baseline-no-lock,0,baseline-no-lock-seed-39
-2.0,549.0,1.828257,,,,-2.0,549.0,1.828257,499.5,39,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-39
-213.0,793.0,1.933606,,,,-213.0,793.0,1.933606,546.0,40,baseline-no-lock,2,baseline-no-lock-seed-40
142.5,99.0,0.754374,142.5,99.0,0.754374,,,,25.5,40,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
-319.0,332.0,1.35022,,,,-319.0,332.0,1.35022,288.5,41,baseline-no-lock,2,baseline-no-lock-seed-41
78.0,446.0,0.965072,,,,78.0,446.0,0.965072,118.5,41,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
-11.5,359.0,1.489553,,,,-11.5,359.0,1.489553,350.0,42,baseline-no-lock,0,baseline-no-lock-seed-42
-260.0,630.0,1.583575,-260.0,630.0,1.583575,,,,391.5,42,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
-303.5,255.0,0.826872,-303.5,255.0,0.826872,,,,57.5,43,baseline-no-lock,0,baseline-no-lock-seed-43
-318.5,291.0,1.865639,-318.5,291.0,1.865639,,,,516.0,43,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
-288.0,135.0,0.851794,,,,-288.0,135.0,0.851794,68.5,44,baseline-no-lock,0,baseline-no-lock-seed-44
-470.5,18.0,1.857709,-470.5,18.0,1.857709,,,,512.5,44,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
-164.5,360.0,0.920894,,,,-164.5,360.0,0.920894,99.0,45,baseline-no-lock,2,baseline-no-lock-seed-45
-317.5,650.0,2.405979,,,,-317.5,650.0,2.405979,754.5,45,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
-281.5,204.0,1.009251,-281.5,204.0,1.009251,,,,138.0,46,baseline-no-lock,0,baseline-no-lock-seed-46
-552.5,3.0,2.45129,-552.5,3.0,2.45129,,,,774.5,46,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
-346.5,491.0,2.127313,,,,-346.5,491.0,2.127313,631.5,47,baseline-no-lock,2,baseline-no-lock-seed-47
-458.0,109.0,0.991126,-458.0,109.0,0.991126,,,,130.0,47,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
-430.5,69.0,0.758905,-430.5,69.0,0.758905,,,,27.5,48,baseline-no-lock,0,baseline-no-lock-seed-48
-240.5,337.0,1.257332,,,,-240.5,337.0,1.257332,247.5,48,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
-243.5,140.0,0.945815,-243.5,140.0,0.945815,,,,110.0,49,baseline-no-lock,0,baseline-no-lock-seed-49
-49.5,526.0,1.351353,-49.5,526.0,1.351353,,,,289.0,49,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
