experiment_id,seed,run_group,variant,abort_reason,status,lane_mismatch_ps,dqs_dq_ps,ld_cntvaluein_ps,capture_lane_score_z,ld_score_z,combined_score_z
cntvaluein3-skew-locked-seed20,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-264.0,69.0,439.0,-0.870721,0.851878,-0.018842
cntvaluein3-skew-locked-seed27,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-329.0,629.0,37.5,1.305354,-1.195784,0.109571
baseline-no-lock-seed-31,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,fail,-375.0,80.0,168.5,-1.484909,-0.52768,-2.012589
cntvaluein3-skew-locked-seed-31,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-360.5,599.0,479.5,0.979335,1.058429,2.037764
baseline-no-lock-seed-32,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-117.0,145.0,94.0,0.357535,-0.907632,-0.550097
cntvaluein3-skew-locked-seed-32,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-337.5,162.0,684.5,-0.884765,2.103935,1.21917
baseline-no-lock-seed-33,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-243.0,105.0,81.5,-0.580082,-0.971382,-1.551464
cntvaluein3-skew-locked-seed-33,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-328.0,46.0,742.0,-1.359258,2.397187,1.037929
baseline-no-lock-seed-34,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-301.5,178.0,277.0,-0.595934,0.025673,-0.570261
cntvaluein3-skew-locked-seed-34,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-509.0,459.0,383.5,-0.551072,0.568827,0.017754
baseline-no-lock-seed-35,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-274.5,219.0,112.5,-0.246468,-0.813281,-1.059749
cntvaluein3-skew-locked-seed-35,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-340.5,136.0,796.0,-1.021827,2.672589,1.650762
baseline-no-lock-seed-36,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-124.0,243.0,349.0,0.764542,0.392876,1.157417
cntvaluein3-skew-locked-seed-36,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,297.5,35.0,167.0,2.335334,-0.53533,1.800004
baseline-no-lock-seed-37,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-329.5,518.0,132.5,0.793893,-0.711281,0.082612
cntvaluein3-skew-locked-seed-37,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-207.5,30.0,13.5,-0.711096,-1.318184,-2.02928
baseline-no-lock-seed-38,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-182.5,123.0,246.5,-0.135403,-0.129877,-0.26528
cntvaluein3-skew-locked-seed-38,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-357.5,212.0,185.5,-0.775469,-0.440979,-1.216448
baseline-no-lock-seed-39,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-690.0,516.0,191.0,-1.373647,-0.412929,-1.786576
cntvaluein3-skew-locked-seed-39,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-2.0,549.0,499.5,2.896699,1.16043,4.057129
baseline-no-lock-seed-40,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-213.0,793.0,546.0,2.751117,1.397581,4.148698
cntvaluein3-skew-locked-seed-40,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,142.5,99.0,25.5,1.700492,-1.256984,0.443508
baseline-no-lock-seed-41,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-319.0,332.0,288.5,0.004732,0.084324,0.089056
cntvaluein3-skew-locked-seed-41,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,78.0,446.0,118.5,2.903852,-0.782681,2.121171
baseline-no-lock-seed-42,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,fail,-11.5,359.0,350.0,1.969471,0.397976,2.367447
cntvaluein3-skew-locked-seed-42,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-260.0,630.0,391.5,1.723051,0.609627,2.332677
baseline-no-lock-seed-43,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-303.5,255.0,57.5,-0.255188,-1.093783,-1.348971
cntvaluein3-skew-locked-seed-43,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-318.5,291.0,516.0,-0.180087,1.24458,1.064494
baseline-no-lock-seed-44,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,fail,-288.0,135.0,68.5,-0.712081,-1.037683,-1.749764
