x,combined_score_z,pass_score,fail_score,status,seed,variant,abort_reason,experiment_id
1.04128,-2.02928,-2.02928,,pass,37,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-37
2.02184,-0.26528,,-0.26528,fail,38,baseline-no-lock,2,baseline-no-lock-seed-38
1.04872,-1.216448,-1.216448,,pass,38,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-38
1.0276,-1.786576,-1.786576,,pass,39,baseline-no-lock,0,baseline-no-lock-seed-39
2.05616,4.057129,,4.057129,fail,39,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-39
1.98128,4.148698,,4.148698,fail,40,baseline-no-lock,2,baseline-no-lock-seed-40
0.9964,0.443508,0.443508,,pass,40,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
1.98704,0.089056,,0.089056,fail,41,baseline-no-lock,2,baseline-no-lock-seed-41
2.00384,2.121171,,2.121171,fail,41,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
1.9928,2.367447,,2.367447,fail,42,baseline-no-lock,0,baseline-no-lock-seed-42
1.01128,2.332677,2.332677,,pass,42,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
0.99856,-1.348971,-1.348971,,pass,43,baseline-no-lock,0,baseline-no-lock-seed-43
1.01872,1.064494,1.064494,,pass,43,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
2.00432,-1.749764,,-1.749764,fail,44,baseline-no-lock,0,baseline-no-lock-seed-44
1.02616,-1.113963,-1.113963,,pass,44,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
2.01008,0.175881,,0.175881,fail,45,baseline-no-lock,2,baseline-no-lock-seed-45
2.0336,3.931341,,3.931341,fail,45,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
1.01584,-1.04032,-1.04032,,pass,46,baseline-no-lock,0,baseline-no-lock-seed-46
1.04104,-0.337416,-0.337416,,pass,46,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
2.0216,2.402064,,2.402064,fail,47,baseline-no-lock,2,baseline-no-lock-seed-47
