capture_lane_score_z,ld_score_z,pass_capture_lane_score_z,pass_ld_score_z,fail_capture_lane_score_z,fail_ld_score_z,combined_score_z,seed,variant,abort_reason,experiment_id
0.764542,0.392876,0.764542,0.392876,,,1.157417,36,baseline-no-lock,0,baseline-no-lock-seed-36
2.335334,-0.53533,,,2.335334,-0.53533,1.800004,36,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-36
0.793893,-0.711281,,,0.793893,-0.711281,0.082612,37,baseline-no-lock,2,baseline-no-lock-seed-37
-0.711096,-1.318184,-0.711096,-1.318184,,,-2.02928,37,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-37
-0.135403,-0.129877,,,-0.135403,-0.129877,-0.26528,38,baseline-no-lock,2,baseline-no-lock-seed-38
-0.775469,-0.440979,-0.775469,-0.440979,,,-1.216448,38,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-38
-1.373647,-0.412929,-1.373647,-0.412929,,,-1.786576,39,baseline-no-lock,0,baseline-no-lock-seed-39
2.896699,1.16043,,,2.896699,1.16043,4.057129,39,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-39
2.751117,1.397581,,,2.751117,1.397581,4.148698,40,baseline-no-lock,2,baseline-no-lock-seed-40
1.700492,-1.256984,1.700492,-1.256984,,,0.443508,40,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
0.004732,0.084324,,,0.004732,0.084324,0.089056,41,baseline-no-lock,2,baseline-no-lock-seed-41
2.903852,-0.782681,,,2.903852,-0.782681,2.121171,41,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
1.969471,0.397976,,,1.969471,0.397976,2.367447,42,baseline-no-lock,0,baseline-no-lock-seed-42
1.723051,0.609627,1.723051,0.609627,,,2.332677,42,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
-0.255188,-1.093783,-0.255188,-1.093783,,,-1.348971,43,baseline-no-lock,0,baseline-no-lock-seed-43
-0.180087,1.24458,-0.180087,1.24458,,,1.064494,43,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
-0.712081,-1.037683,,,-0.712081,-1.037683,-1.749764,44,baseline-no-lock,0,baseline-no-lock-seed-44
-2.340694,1.22673,-2.340694,1.22673,,,-1.113963,44,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
1.058013,-0.882132,,,1.058013,-0.882132,0.175881,45,baseline-no-lock,2,baseline-no-lock-seed-45
1.470404,2.460938,,,1.470404,2.460938,3.931341,45,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
-0.35709,-0.683231,-0.35709,-0.683231,,,-1.04032,46,baseline-no-lock,0,baseline-no-lock-seed-46
-2.900354,2.562938,-2.900354,2.562938,,,-0.337416,46,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
0.56843,1.833634,,,0.56843,1.833634,2.402064,47,baseline-no-lock,2,baseline-no-lock-seed-47
-1.849002,-0.724031,-1.849002,-0.724031,,,-2.573033,47,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
-1.867586,-1.246784,-1.867586,-1.246784,,,-3.11437,48,baseline-no-lock,0,baseline-no-lock-seed-48
0.497629,-0.124777,,,0.497629,-0.124777,0.372852,48,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
-0.422747,-0.826031,-0.422747,-0.826031,,,-1.248779,49,baseline-no-lock,0,baseline-no-lock-seed-49
2.50695,0.086874,2.50695,0.086874,,,2.593824,49,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
-1.072598,-0.841332,-1.072598,-0.841332,,,-1.913929,50,baseline-no-lock,0,baseline-no-lock-seed-50
0.284181,-0.203828,,,0.284181,-0.203828,0.080353,50,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
-0.160317,0.158274,-0.160317,0.158274,,,-0.002043,51,baseline-no-lock,0,baseline-no-lock-seed-51
-1.427829,-0.316029,,,-1.427829,-0.316029,-1.743858,51,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
-0.637202,-0.63478,-0.637202,-0.63478,,,-1.271982,52,baseline-no-lock,0,baseline-no-lock-seed-52
2.251469,0.178674,,,2.251469,0.178674,2.430143,52,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
2.799114,1.527632,2.799114,1.527632,,,4.326746,53,baseline-no-lock,0,baseline-no-lock-seed-53
-0.754815,-0.843882,,,-0.754815,-0.843882,-1.598697,53,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
1.677202,-0.777581,,,1.677202,-0.777581,0.89962,54,baseline-no-lock,2,baseline-no-lock-seed-54
-0.31042,-0.435879,-0.31042,-0.435879,,,-0.746299,54,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
0.939856,-0.326229,,,0.939856,-0.326229,0.613627,55,baseline-no-lock,2,baseline-no-lock-seed-55
-3.029782,-0.048277,-3.029782,-0.048277,,,-3.078059,55,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
0.925531,0.000173,0.925531,0.000173,,,0.925704,56,baseline-no-lock,0,baseline-no-lock-seed-56
1.24882,-0.178328,1.24882,-0.178328,,,1.070492,56,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
-0.106211,-0.035527,,,-0.106211,-0.035527,-0.141738,57,baseline-no-lock,0,baseline-no-lock-seed-57
2.18143,-0.338979,2.18143,-0.338979,,,1.842452,57,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
-0.661893,-0.866832,,,-0.661893,-0.866832,-1.528724,58,baseline-no-lock,2,baseline-no-lock-seed-58
1.755922,0.275575,1.755922,0.275575,,,2.031497,58,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
0.220091,-1.203434,0.220091,-1.203434,,,-0.983343,59,baseline-no-lock,0,baseline-no-lock-seed-59
0.459398,-1.249334,0.459398,-1.249334,,,-0.789936,59,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
0.959648,-1.022383,,,0.959648,-1.022383,-0.062735,60,baseline-no-lock,2,baseline-no-lock-seed-60
0.272868,1.257331,,,0.272868,1.257331,1.530198,60,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
0.089739,-0.395079,0.089739,-0.395079,,,-0.30534,2,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
2.08399,1.667883,2.08399,1.667883,,,3.751873,3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
