trial,trial_kind,seed,complete,pass,fail_reasons,state_calibrate,instruction_address,wrong_read_data,abort_reason_name,abort_lane,abort_start_index_check,abort_dq_target_index,result_json,note
2,repeat_reprogram_30s_poll,1,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-1-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,2,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,1,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-2-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,3,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-3-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,4,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-4-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,5,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-5-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,6,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-6-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,7,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-7-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,8,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-8-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,9,True,True,,23,21,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-9-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,10,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-10-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,11,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-11-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,12,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-12-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,13,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-13-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,14,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-14-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,15,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-15-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,16,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",2,13,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-16-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,17,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-17-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,18,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-18-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,19,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-19-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,20,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-20-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,21,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-21-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,22,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-22-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,23,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-23-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,24,True,True,,23,19,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-24-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,25,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-25-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,26,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-26-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,27,True,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-27-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,28,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-28-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,29,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-29-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
2,repeat_reprogram_30s_poll,30,True,True,,23,22,0,none,0,0,0,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-30-trial-02.json,completed repeat trial with --poll-count 300 --poll-interval 0.1
