trial,seed,returncode,pass,fail_reasons,state_calibrate,instruction_address,wrong_read_data,abort_reason_name,abort_lane,abort_start_index_check,abort_dq_target_index,started_at,elapsed_s,result_json,result_log
2,19,0,True,,23,22,0,none,0,0,0,2026-05-27T19:47:06.747974+00:00,35.189,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-19-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-19-trial-02.log
2,20,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:47:41.937918+00:00,71.674,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-20-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-20-trial-02.log
2,21,0,True,,23,22,0,none,0,0,0,2026-05-27T19:48:53.612803+00:00,35.175,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-21-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-21-trial-02.log
2,22,0,True,,23,22,0,none,0,0,0,2026-05-27T19:49:28.788198+00:00,35.243,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-22-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-22-trial-02.log
2,23,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:50:04.031819+00:00,71.433,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-23-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-23-trial-02.log
2,24,0,True,,23,19,0,none,0,0,0,2026-05-27T19:51:15.464984+00:00,35.146,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-24-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-24-trial-02.log
2,25,0,True,,23,22,0,none,0,0,0,2026-05-27T19:51:50.611950+00:00,35.200,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-25-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-25-trial-02.log
2,26,0,True,,23,22,0,none,0,0,0,2026-05-27T19:52:25.812350+00:00,35.245,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-26-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-26-trial-02.log
2,27,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:53:01.057618+00:00,71.649,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-27-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-27-trial-02.log
2,28,0,True,,23,22,0,none,0,0,0,2026-05-27T19:54:12.707671+00:00,35.187,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-28-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-28-trial-02.log
2,29,0,True,,23,22,0,none,0,0,0,2026-05-27T19:54:47.895420+00:00,35.248,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-29-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-29-trial-02.log
2,30,0,True,,23,22,0,none,0,0,0,2026-05-27T19:55:23.144218+00:00,35.144,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-30-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-30-trial-02.log
