delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
12077.0,462.0,12539.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[4]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42739.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[4\]\$LUT\$496.A1 (462:462:462) (462:462:462)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[4\]\$LUT\$496.A1 (12539:12539:12539) (12539:12539:12539))
12023.0,397.0,12420.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.check_test_address_counter[4]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42593.Q ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[4\]\$LUT\$784.A1 (397:397:397) (397:397:397)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[4\]\$LUT\$784.A1 (12420:12420:12420) (12420:12420:12420))
11953.0,467.0,12420.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.check_test_address_counter[5]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42594.Q ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[5\]\$LUT\$788.A1 (467:467:467) (467:467:467)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[5\]\$LUT\$788.A1 (12420:12420:12420) (12420:12420:12420))
11641.0,629.0,12270.0,all,,['other'],INTERCONNECT:$techmap180493$abc$$lut$aiger179447$N.A[1]$LUT$N.A3,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$5581.O6 \$techmap180493\$abc\$179448\$lut\$aiger179447\$5833\.A\[1\]\$LUT\$220.A3 (629:629:629) (629:629:629)),(INTERCONNECT \$PACKER_GND_DRV.Y \$techmap180493\$abc\$179448\$lut\$aiger179447\$5833\.A\[1\]\$LUT\$220.A3 (12270:12270:12270) (12270:12270:12270))
10885.0,335.0,11220.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[6]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42779.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[6\]\$LUT\$28.A1 (335:335:335) (335:335:335)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[6\]\$LUT\$28.A1 (11220:11220:11220) (11220:11220:11220))
10683.0,521.0,11204.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[12]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43211.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[12\]\$LUT\$308.A1 (521:521:521) (521:521:521)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[12\]\$LUT\$308.A1 (11204:11204:11204) (11204:11204:11204))
10636.0,629.0,11265.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_data_randomized[101]$LUT$N.A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43204.Q ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[101\]\$LUT\$280.A3 (629:629:629) (629:629:629)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[101\]\$LUT\$280.A3 (11265:11265:11265) (11265:11265:11265))
10568.0,216.0,10784.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.read_test_address_counter[6]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43180.Q ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[6\]\$LUT\$394.A1 (216:216:216) (216:216:216)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[6\]\$LUT\$394.A1 (10784:10784:10784) (10784:10784:10784))
10486.0,689.0,11175.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[14]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43213.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[14\]\$LUT\$316.A1 (689:689:689) (689:689:689)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[14\]\$LUT\$316.A1 (11175:11175:11175) (11175:11175:11175))
10346.0,393.0,10739.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.o_debug_calib_gate[7]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$38328.Q ddr3_top_inst\.o_debug_calib_gate\[7\]\$LUT\$806.A1 (393:393:393) (393:393:393)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.o_debug_calib_gate\[7\]\$LUT\$806.A1 (10739:10739:10739) (10739:10739:10739))
10181.0,558.0,10739.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.o_debug_calib_gate[8]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$38329.Q ddr3_top_inst\.o_debug_calib_gate\[8\]\$LUT\$810.A1 (558:558:558) (558:558:558)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.o_debug_calib_gate\[8\]\$LUT\$810.A1 (10739:10739:10739) (10739:10739:10739))
8613.0,192.0,8805.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[3].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14654_Y\[3\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14654_Y\[3\].A6 (8805:8805:8805) (8805:8805:8805))
8613.0,192.0,8805.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[64].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[64\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[64\].A6 (8805:8805:8805) (8805:8805:8805))
8417.0,192.0,8609.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[0].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[0\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[0\].A6 (8609:8609:8609) (8609:8609:8609))
8297.0,192.0,8489.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[20].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[20\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[20\].A6 (8489:8489:8489) (8489:8489:8489))
