experiment_id,run_group,seed,variant,payload_version,pass,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,correct_read_data,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,reset_from_calibrate_ever,reset_from_test_ever,sync_rst_reasserted_after_release,phy_reset_reasserted_after_release,wrong_read_seen,bitstream_sha256,result_json,finished_at,nextpnr_json,cvc_sdf,fasm,interpretation
baseline-no-lock-seed-31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,31,baseline-no-lock,3,False,"calib_incomplete,calib_state_not_done,bist_not_done,wrong_read_data_nonzero",17,22,False,False,78082,2,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,True,True,True,True,f22104a4741d99f2550f94fa1b1da638cb802cb630f5869791c4e545809db1bc,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-31.json,2026-05-28T11:19:10.092515+00:00,/nix/store/16y44kkbv1g68n8fvbpavaknm6ml2pph-ypcb-ddr3-nextpnr-json-seed-31/ypcb_00338_1p1_ddr3.placed.json,/nix/store/rn6p13ihhvjbcn4pfs9wbcv975v23q64-ypcb-ddr3-cvc-sdf-seed-31/ypcb_00338_1p1_ddr3.cvc.sdf,,fails without abort; final state 17 instruction 22
cntvaluein3-skew-locked-seed-31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,31,cntvaluein3-skew-locked,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,0145fcc0eeb48fb44a6a59a5c47b4ca89cb494a87f2e9dc938ac8f577f31a008,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-31.json,2026-05-28T11:19:45.343095+00:00,/nix/store/ska3k63a4dvzfkx4i2hmy2xjg3lb07ls-ypcb-ddr3-nextpnr-json-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xnp6a5a97258bm9n1knbvn20a4wrg6yw-ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
baseline-no-lock-seed-32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,32,baseline-no-lock,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,32572c8d91d7d784116f3947daecca13a0d64fc784c08868bff4b2c43edf91d3,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-32.json,2026-05-28T11:21:27.523316+00:00,/nix/store/pr35b486mvpjbyvmihrmbqv2xk9pjhrv-ypcb-ddr3-nextpnr-json-seed-32/ypcb_00338_1p1_ddr3.placed.json,/nix/store/sdsvgyx8pf6m7fifnn98863wqrbiw4az-ypcb-ddr3-cvc-sdf-seed-32/ypcb_00338_1p1_ddr3.cvc.sdf,,fails after check_starting_data_search_exhausted; final state 0 instruction 1; lane 0 start_index_check=48 dq_target_index=33
cntvaluein3-skew-locked-seed-32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,32,cntvaluein3-skew-locked,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,d99a6745e5f4f55189a813879d656c5c6593ac92a00b9f1c55a5a18a3a2675d1,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-32.json,2026-05-28T11:22:02.773883+00:00,/nix/store/9jzpy99k6xm72ifd17qw2q8c7baa30j8-ypcb-ddr3-nextpnr-json-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/2ik576xdlabgwahzcj14ivskzdhs9jy8-ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
baseline-no-lock-seed-33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,33,baseline-no-lock,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,004328651c38e104ae405f6c555db74f5f6f02589687a2274170dd2c021fb553,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-33.json,2026-05-28T11:22:38.001338+00:00,/nix/store/hh98a41hd8925h3sgfdk5igirrv9skii-ypcb-ddr3-nextpnr-json-seed-33/ypcb_00338_1p1_ddr3.placed.json,/nix/store/qisixd74jjx6p26nbv2wrdy18wvsk5p1-ypcb-ddr3-cvc-sdf-seed-33/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
cntvaluein3-skew-locked-seed-33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,33,cntvaluein3-skew-locked,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,b4a3a04940439db650ec6dd5a9dfdecbc59fccece75711d9a18987342b4c3227,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-33.json,2026-05-28T11:24:20.328251+00:00,/nix/store/njk4rks488ah3zixycbqqz9m5wlrbv6a-ypcb-ddr3-nextpnr-json-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/538193v05gkbxwyzvr8cya1cp9kvnkjj-ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,fails after check_starting_data_search_exhausted; final state 0 instruction 2; lane 0 start_index_check=48 dq_target_index=33
baseline-no-lock-seed-34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,34,baseline-no-lock,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,6d7940a1a2904175efb8a3dfedcce350d35da4b4b463976515742b8372309674,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-34.json,2026-05-28T11:26:02.783052+00:00,/nix/store/45xvy0vi98d6py90qfhp020iavd7gcwi-ypcb-ddr3-nextpnr-json-seed-34/ypcb_00338_1p1_ddr3.placed.json,/nix/store/3560jfrb1q25gj4vpjl4673wnfddhyn4-ypcb-ddr3-cvc-sdf-seed-34/ypcb_00338_1p1_ddr3.cvc.sdf,,fails after check_starting_data_search_exhausted; final state 0 instruction 2; lane 0 start_index_check=48 dq_target_index=33
cntvaluein3-skew-locked-seed-34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,34,cntvaluein3-skew-locked,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,6a5425816e6abb68919bd3813d21933456eb190859c58a7387aa0283565e40c5,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-34.json,2026-05-28T11:26:37.921352+00:00,/nix/store/b0digs9gg8q85pdb5vjhxg19v80b93nc-ypcb-ddr3-nextpnr-json-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/kxvyljhsvj02r2jp2xwf7pz8lm62ip10-ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
baseline-no-lock-seed-35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,35,baseline-no-lock,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,b2408d071dbe487801e941aeb0adf001753143c5392fb40280c5629c141876c7,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-35.json,2026-05-28T11:27:13.168582+00:00,/nix/store/6c9ch3zyi7dkci1kzp8r3ip7v8avsgpl-ypcb-ddr3-nextpnr-json-seed-35/ypcb_00338_1p1_ddr3.placed.json,/nix/store/gnf2c27sxn1vf61nmmvzkw3yjjda4q1b-ypcb-ddr3-cvc-sdf-seed-35/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
cntvaluein3-skew-locked-seed-35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,35,cntvaluein3-skew-locked,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,8a93de658594853e1ebcc2ed2511255ccc6a2293332b19edc164c1e09badf98b,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-35.json,2026-05-28T11:27:48.384137+00:00,/nix/store/pac48h93z9jsvk9gay4r31fwy35jcfz5-ypcb-ddr3-nextpnr-json-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/yv02j7q5rwgm16f4pc4g1siq7r3m6bd8-ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
