feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,3,endpoint,2,1,1310.0,1422.0,1534.0,1608.0,1608.0,1608.0,186.0,74.0,-298.0,1.0,fail_higher,1.0,1.0,fail_higher,74.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,2,1,2130.0,2160.0,2190.0,2342.0,2342.0,2342.0,182.0,152.0,-212.0,1.0,fail_higher,1.0,1.0,fail_higher,152.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq1__ctrl_none__dq1__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,2,1,273.0,420.5,568.0,595.0,595.0,595.0,174.5,27.0,-322.0,1.0,fail_higher,1.0,1.0,fail_higher,27.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,2,1,1213.0,1239.5,1266.0,1411.0,1411.0,1411.0,171.5,145.0,-198.0,1.0,fail_higher,1.0,1.0,fail_higher,145.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,2,1,314.0,320.0,326.0,472.0,472.0,472.0,152.0,146.0,-158.0,1.0,fail_higher,1.0,1.0,fail_higher,146.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq6__ctrl_none__dq6__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,2,1,446.0,449.5,453.0,584.0,584.0,584.0,134.5,131.0,-138.0,1.0,fail_higher,1.0,1.0,fail_higher,131.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,endpoint,2,1,1467.0,1518.0,1569.0,1649.0,1649.0,1649.0,131.0,80.0,-182.0,1.0,fail_higher,1.0,1.0,fail_higher,80.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,3,endpoint,2,1,1322.0,1387.0,1452.0,1516.0,1516.0,1516.0,129.0,64.0,-194.0,1.0,fail_higher,1.0,1.0,fail_higher,64.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq4__ctrl_none__dq4__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,2,1,279.0,366.0,453.0,491.0,491.0,491.0,125.0,38.0,-212.0,1.0,fail_higher,1.0,1.0,fail_higher,38.0
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq0,,endpoint,2,1,2183.0,2219.5,2256.0,2342.0,2342.0,2342.0,122.5,86.0,-159.0,1.0,fail_higher,1.0,1.0,fail_higher,86.0
lane_spread__idelay_ld__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_ld,lane0,,,lane,2,1,352.0,384.5,417.0,501.0,501.0,501.0,116.5,84.0,-149.0,1.0,fail_higher,1.0,1.0,fail_higher,84.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,2,1,262.0,307.0,352.0,419.0,419.0,419.0,112.0,67.0,-157.0,1.0,fail_higher,1.0,1.0,fail_higher,67.0
direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,2,1,1368.0,1474.0,1580.0,1583.0,1583.0,1583.0,109.0,3.0,-215.0,1.0,fail_higher,1.0,1.0,fail_higher,3.0
direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq4,,endpoint,2,1,2130.0,2232.5,2335.0,2338.0,2338.0,2338.0,105.5,3.0,-208.0,1.0,fail_higher,1.0,1.0,fail_higher,3.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,2,1,1605.0,1616.5,1628.0,1677.0,1677.0,1677.0,60.5,49.0,-72.0,1.0,fail_higher,1.0,1.0,fail_higher,49.0
direct_max__idelay_ld__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq8,,endpoint,2,1,1675.0,1680.0,1685.0,1705.0,1705.0,1705.0,25.0,20.0,-30.0,1.0,fail_higher,1.0,1.0,fail_higher,20.0
