stratum,value,total,pass,fail,unknown
metrics_group,exact-abort-seed3-lock-matrix,3,2,1,0
run_group,payload_v3_exact_abort,3,2,1,0
variant,baseline,1,1,0,0
variant,cntvaluein_only,1,1,0,0
variant,cntvaluein_plus_ld_parent,1,0,1,0
payload_version,3,3,2,1,0
seed,3,3,2,1,0
metric_status,fail,1,0,1,0
metric_status,pass,2,2,0,0
abort_reason_name,check_starting_data_search_exhausted,1,0,1,0
abort_reason_name,none,2,2,0,0
abort_lane,0,3,2,1,0
