feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,13,6,1,12,5,405,304,2,1,4,3,259,259,1,0,3,2,839,652,1,0,2,3,917,882,2,0,3,434,0.1,444
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,3,ld_vs_cntvaluein_dq_lane,13,7,2,11,5,-756.5,257.5,2,2,3,3,-672,359,2,0,3,2,-383,304.5,2,0,2,3,-708.5,191.5,1,0,3,373.5,0.6,433.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,4,dqs_vs_dq_bit,13,6,5,8,5,369,-42,2,3,2,3,358,196,3,1,2,2,-24,-24,0,1,1,3,762,762,1,0,3,-393,-0.4,433
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,13,8,5,8,5,624,95,3,2,3,3,153,-153,1,2,1,2,244.5,123.5,2,0,2,3,784,427,2,1,2,-379.5,0.4,419.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,13,10,4,9,5,72,10,4,2,3,3,-286,70,2,1,2,2,456,239,1,0,2,3,684,632,3,1,2,384,-0.3,414
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,13,7,4,9,5,86,72,1,1,4,3,156,37,1,1,2,2,-245,-137,2,1,1,3,677,495,3,1,2,-331,0.8,411
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,13,7,4,9,5,-5,125,2,1,4,3,-287,-31,1,2,1,2,386,-52,1,1,1,3,752,374,3,0,3,391,0.1,401
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,13,8,8,5,5,690,-159,3,3,2,3,331,-331,1,3,0,2,336,110,2,1,1,3,658,161,2,1,2,-354,0.4,394
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,13,7,5,8,5,-186.5,99.5,2,2,3,3,98,98,1,1,2,2,-518.75,-161.25,2,1,1,3,631.5,319.5,2,1,2,-332.25,0.6,392.25
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,13,11,5,8,5,191,191,4,1,4,3,216,-82,2,2,1,2,562.5,271.5,2,1,1,3,833,701,3,1,2,371.5,0.2,391.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,13,7,6,7,5,-42,170,3,2,3,3,62,62,1,1,2,2,300.5,-56.5,1,1,1,3,610,-8,2,2,1,342.5,-0.1,352.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,13,10,5,8,5,268,285,3,0,5,3,295,-100,2,3,0,2,580.5,334.5,2,1,1,3,1095,829,3,1,2,312.5,0.4,352.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,13,9,8,5,5,93,-62,3,4,1,3,152,-72,2,2,1,2,-242.5,-170.5,1,1,1,3,680,666,3,1,2,-335.5,-0.1,345.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,13,7,7,6,5,504,294,4,2,3,3,143,-143,1,2,1,2,198.5,-143.5,2,2,0,3,403,28,0,1,2,-305.5,0.2,325.5
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,13,10,2,11,5,-618,227,3,0,5,3,643,-271,3,2,1,2,-930.5,381.5,1,0,2,3,-568,74,3,0,3,-312.5,-0.1,322.5
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,13,12,4,9,5,320,320,4,1,4,3,241.5,28.5,3,1,2,2,618.5,258.5,2,1,1,3,1008,727,3,1,2,298.5,0.2,318.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,13,8,4,9,5,665,282,3,1,4,3,148,11,2,1,2,2,396,179,2,1,1,3,554,51,1,1,2,-269,0.4,309
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,13,11,5,8,5,329,329,4,1,4,3,236,-10,2,2,1,2,606,175,2,1,1,3,894,714,3,1,2,277,0.2,297
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,1,ld_vs_cntvaluein_dqs,13,9,7,6,5,-489,-288,3,3,2,3,-294,-76,1,2,1,2,-239.5,-187.5,2,1,1,3,-459,130,3,1,2,249.5,0.4,289.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,dqs_vs_dq_bit,13,4,4,9,5,498,296,2,1,4,3,135,135,0,1,2,2,227,283,1,1,1,3,932,550,1,1,2,-271,0.1,281
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,13,7,3,10,5,364,364,1,1,4,3,215,22,2,1,2,2,602,283,1,0,2,3,955,680,3,1,2,238,0.3,268
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,13,8,4,9,5,134.5,10,2,2,3,3,-401,22.5,2,1,2,2,342.25,-59.75,2,1,1,3,1024.5,231.5,2,0,3,207.75,0.6,267.75
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,13,3,6,7,5,209,-61,2,3,2,3,-302,-302,0,2,1,2,456,69,1,1,1,3,668,668,0,0,3,247,0.1,257
