feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,6,5,512.0,743.0,1810.0,418.0,541.0,1424.0,-202.0,-1392.0,-912.0,0.383333,fail_lower,0.616667,-0.233333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,0,endpoint,6,5,526.0,882.0,1345.0,532.0,657.0,1447.0,-225.0,-813.0,-921.0,0.4,fail_lower,0.6,-0.2,overlap,0.0
direct_max__idelay_ld__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq1,,endpoint,6,5,1207.0,1444.5,1631.0,1143.0,1245.0,1527.0,-199.5,-488.0,-320.0,0.4,fail_lower,0.6,-0.2,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,4,endpoint,6,5,1050.0,1429.5,1860.0,1046.0,1330.0,1764.0,-99.5,-814.0,-714.0,0.4,fail_lower,0.6,-0.2,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,1,endpoint,6,5,607.0,784.5,1804.0,607.0,728.0,1149.0,-56.5,-1197.0,-542.0,0.4,fail_lower,0.6,-0.2,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,0,endpoint,6,5,614.0,886.0,1577.0,513.0,875.0,1452.0,-11.0,-1064.0,-838.0,0.4,fail_lower,0.6,-0.2,overlap,0.0
direct_max__idelay_ld__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq2,,endpoint,6,5,1126.0,1503.5,1664.0,1146.0,1304.0,1615.0,-199.5,-518.0,-489.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,6,5,755.0,1096.5,1580.0,797.0,957.0,1562.0,-139.5,-783.0,-807.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,1,endpoint,6,5,643.0,961.0,2131.0,736.0,828.0,1148.0,-133.0,-1395.0,-505.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_ld__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq7,,endpoint,6,5,1212.0,1577.5,1919.0,1240.0,1452.0,1623.0,-125.5,-679.0,-411.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,1,endpoint,6,5,930.0,1315.5,2492.0,1031.0,1208.0,1838.0,-107.5,-1461.0,-908.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__dq_iologic__lane1__dq13__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq13,,endpoint,6,5,2095.0,2242.5,2507.0,2013.0,2145.0,3003.0,-97.5,-494.0,-908.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,1,endpoint,6,5,866.0,1317.0,2135.0,1167.0,1230.0,1840.0,-87.0,-968.0,-974.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,6,5,1131.0,1246.0,1476.0,994.0,1182.0,1625.0,-64.0,-482.0,-494.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,1,endpoint,6,5,939.0,1292.5,2398.0,1116.0,1263.0,1832.0,-29.5,-1282.0,-893.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,2,endpoint,6,5,531.0,774.0,1195.0,503.0,796.0,1376.0,22.0,-692.0,-845.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_ld__lane1__dq10__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq10,,endpoint,6,5,1184.0,1433.0,1620.0,1085.0,1455.0,1625.0,22.0,-535.0,-441.0,0.433333,fail_lower,0.566667,-0.133333,overlap,0.0
direct_max__idelay_ld__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq4,,endpoint,6,5,1057.0,1411.0,1825.0,1233.0,1360.0,1529.0,-51.0,-592.0,-472.0,0.45,fail_lower,0.55,-0.1,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,6,5,1013.0,1110.5,2223.0,934.0,1292.0,1659.0,181.5,-1289.0,-646.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,4,endpoint,6,5,833.0,1437.0,2038.0,1059.0,1264.0,1942.0,-173.0,-979.0,-1109.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,1,endpoint,6,5,561.0,1018.5,2223.0,726.0,919.0,1335.0,-99.5,-1497.0,-774.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_ld__lane1__dq12__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq12,,endpoint,6,5,1083.0,1397.5,1646.0,999.0,1483.0,1677.0,85.5,-647.0,-594.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,6,5,1032.0,1169.5,1554.0,962.0,1085.0,1715.0,-84.5,-592.0,-683.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,4,endpoint,6,5,575.0,857.0,1667.0,587.0,792.0,1656.0,-65.0,-1080.0,-1081.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,6,5,226.0,531.0,847.0,442.0,480.0,585.0,-51.0,-405.0,-359.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
direct_max__idelay_ld__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq3,,endpoint,6,5,1126.0,1340.0,1562.0,1144.0,1289.0,1490.0,-51.0,-418.0,-364.0,0.466667,fail_lower,0.533333,-0.066667,overlap,0.0
