seed,result,state_calibrate,wrong_read_data,status_raw,cmd_cke,cmd_reset_n,initial_calibration_done,reset_from_calibrate_ever,reset_from_test_ever,wrong_read_seen,fail_reasons
2,fail,0,0,0,false,false,false,true,false,false,calib_incomplete;calib_state_not_done;bist_not_done
3,pass,23,0,6,true,true,true,false,false,false,
5,pass,23,0,6,true,true,true,false,false,false,
6,fail,17,1,6,true,true,true,false,true,true,calib_incomplete;calib_state_not_done;bist_not_done;wrong_read_data_nonzero
11,pass,23,0,6,true,true,true,false,false,false,
12,fail,0,0,0,false,false,false,true,false,false,calib_incomplete;calib_state_not_done;bist_not_done
16,fail,0,0,0,false,false,false,true,false,false,calib_incomplete;calib_state_not_done;bist_not_done
20,pass,23,0,6,true,true,true,false,false,false,
27,fail,4,2,6,true,true,false,true,true,true,calib_incomplete;calib_state_not_done;bist_not_done;wrong_read_data_nonzero
